tick,greedy,robot,m,p_x,planned_wticks,task,search_ticks,x,y,seed
9.123,True,qupa_27,0.0,0.5,60.0,TYPE_A,9.123,0,0,112184514
81.123,True,qupa_27,1.0,0.731059,59.651,TYPE_A,10.0,0,0,112184514
150.123,True,qupa_27,2.0,0.880797,59.062,TYPE_A,8.0,0,0,112184514
239.123,True,qupa_27,3.0,0.952574,57.526,TYPE_A,29.6,0,0,112184514
301.123,True,qupa_27,4.0,0.982014,53.781,TYPE_A,3.0,0,0,112184514
372.123,True,qupa_27,5.0,0.993307,45.968,TYPE_A,15.0,0,0,112184514
442.123,True,qupa_27,6.0,0.002473,60.0,TYPE_B,22.0,0,0,112184514
524.923,True,qupa_27,5.0,0.993307,45.968,TYPE_A,20.8,0,0,112184514
574.323,True,qupa_27,6.0,0.997527,33.913,TYPE_A,3.2,0,0,112184514
615.123,True,qupa_27,7.0,0.999089,21.858,TYPE_A,5.0,0,0,112184514
656.123,True,qupa_27,8.0,0.999665,14.045,TYPE_A,18.8,0,0,112184514
676.123,True,qupa_27,9.0,0.999877,10.3,TYPE_A,4.0,0,0,112184514
699.123,True,qupa_27,10.0,0.999955,8.764,TYPE_A,12.0,0,0,112184514
713.123,True,qupa_27,11.0,0.999983,8.175,TYPE_A,3.0,0,0,112184514
16.331,True,qupa_48,0.0,0.5,60.0,TYPE_B,16.331,0,0,112184514
89.331,True,qupa_48,-1.0,0.731059,59.651,TYPE_B,12.8,0,0,112184514
165.331,True,qupa_48,-2.0,0.880797,59.062,TYPE_B,13.0,0,0,112184514
234.331,True,qupa_48,-3.0,0.952574,57.526,TYPE_B,8.0,0,0,112184514
309.331,True,qupa_48,-4.0,0.982014,53.781,TYPE_B,16.0,0,0,112184514
374.331,True,qupa_48,-5.0,0.993307,45.968,TYPE_B,10.0,0,0,112184514
494.331,True,qupa_48,-4.0,0.982014,53.781,TYPE_B,73.8,0,0,112184514
556.331,True,qupa_48,-5.0,0.993307,45.968,TYPE_B,7.0,0,0,112184514
640.331,True,qupa_48,-5.0,0.006693,60.0,TYPE_A,36.0,0,0,112184514
733.331,True,qupa_48,-3.0,0.047426,60.0,TYPE_A,32.0,0,0,112184514
814.331,True,qupa_48,-2.0,0.880797,59.062,TYPE_B,20.0,0,0,112184514
878.331,True,qupa_48,-3.0,0.047426,60.0,TYPE_A,4.6,0,0,112184514
948.331,True,qupa_48,-2.0,0.880797,59.062,TYPE_B,9.0,0,0,112184514
1013.331,True,qupa_48,-3.0,0.952574,57.526,TYPE_B,4.0,0,0,112184514
1079.331,True,qupa_48,-4.0,0.982014,53.781,TYPE_B,8.2,0,0,112184514
1221.331,True,qupa_48,-3.0,0.047426,60.0,TYPE_A,87.0,0,0,112184514
1423.331,True,qupa_48,0.0,0.5,60.0,TYPE_A,140.0,0,0,112184514
1494.331,True,qupa_48,1.0,0.731059,59.651,TYPE_A,9.0,0,0,112184514
1687.331,True,qupa_48,0.0,0.5,60.0,TYPE_B,131.0,0,0,112184514
1756.331,True,qupa_48,-1.0,0.731059,59.651,TYPE_B,7.0,0,0,112184514
30.33,True,qupa_7E,0.0,0.5,60.0,TYPE_B,30.33,0,0,112184514
100.33,True,qupa_7E,-1.0,0.731059,59.651,TYPE_B,9.6,0,0,112184514
190.33,True,qupa_7E,-2.0,0.880797,59.062,TYPE_B,30.0,0,0,112184514
557.33,True,qupa_7E,0.0,0.5,60.0,TYPE_B,306.0,0,0,112184514
634.33,True,qupa_7E,-1.0,0.731059,59.651,TYPE_B,13.6,0,0,112184514
716.33,True,qupa_7E,-2.0,0.880797,59.062,TYPE_B,22.0,0,0,112184514
787.33,True,qupa_7E,-3.0,0.952574,57.526,TYPE_B,10.0,0,0,112184514
866.33,True,qupa_7E,-4.0,0.982014,53.781,TYPE_B,20.0,0,0,112184514
930.33,True,qupa_7E,-5.0,0.993307,45.968,TYPE_B,7.0,0,0,112184514
993.33,True,qupa_7E,-6.0,0.002473,60.0,TYPE_A,16.8,0,0,112184514
1066.33,True,qupa_7E,-5.0,0.993307,45.968,TYPE_B,12.0,0,0,112184514
1133.33,True,qupa_7E,-6.0,0.002473,60.0,TYPE_A,19.0,0,0,112184514
1196.73,True,qupa_7E,-5.0,0.006693,59.651,TYPE_A,3.2,0,0,112184514
1276.53,True,qupa_7E,-4.0,0.982014,53.781,TYPE_B,19.8,0,0,112184514
1614.33,True,qupa_7E,0.0,0.5,60.0,TYPE_B,283.0,0,0,112184514
1751.33,True,qupa_7E,0.0,0.5,60.0,TYPE_A,76.6,0,0,112184514
530.135,True,qupa_AE,0.0,0.5,60.0,TYPE_B,530.135,0,0,112184514
596.135,True,qupa_AE,-1.0,0.268941,60.0,TYPE_A,5.0,0,0,112184514
660.135,True,qupa_AE,0.0,0.5,59.651,TYPE_A,3.0,0,0,112184514
778.135,True,qupa_AE,1.0,0.731059,59.062,TYPE_A,56.0,0,0,112184514
855.135,True,qupa_AE,2.0,0.119203,60.0,TYPE_B,16.0,0,0,112184514
939.135,True,qupa_AE,1.0,0.731059,59.062,TYPE_A,22.0,0,0,112184514
1024.135,True,qupa_AE,2.0,0.880797,57.526,TYPE_A,25.6,0,0,112184514
1111.135,True,qupa_AE,3.0,0.047426,60.0,TYPE_B,28.0,0,0,112184514
1189.135,True,qupa_AE,2.0,0.119203,59.651,TYPE_B,16.0,0,0,112184514
1264.135,True,qupa_AE,1.0,0.268941,59.062,TYPE_B,14.0,0,0,112184514
1387.335,True,qupa_AE,0.0,0.5,59.651,TYPE_B,62.2,0,0,112184514
1462.135,True,qupa_AE,-1.0,0.731059,59.062,TYPE_B,13.0,0,0,112184514
1534.135,True,qupa_AE,-2.0,0.880797,57.526,TYPE_B,11.0,0,0,112184514
1602.135,True,qupa_AE,-3.0,0.952574,53.781,TYPE_B,9.0,0,0,112184514
1669.135,True,qupa_AE,-4.0,0.017986,60.0,TYPE_A,11.0,0,0,112184514
1743.135,True,qupa_AE,-3.0,0.047426,59.651,TYPE_A,11.0,0,0,112184514
62.729,True,qupa_C0,0.0,0.5,60.0,TYPE_B,62.729,0,0,112184514
127.729,True,qupa_C0,-1.0,0.731059,59.651,TYPE_B,4.8,0,0,112184514
632.73,True,qupa_C0,0.0,0.5,60.0,TYPE_B,444.0,0,0,112184514
711.729,True,qupa_C0,-1.0,0.731059,59.651,TYPE_B,18.2,0,0,112184514
791.529,True,qupa_C0,-2.0,0.880797,59.062,TYPE_B,19.8,0,0,112184514
1013.73,True,qupa_C0,-2.0,0.880797,59.062,TYPE_B,162.0,0,0,112184514
1105.729,True,qupa_C0,-2.0,0.880797,59.062,TYPE_B,31.2,0,0,112184514
1177.529,True,qupa_C0,-3.0,0.952574,57.526,TYPE_B,12.4,0,0,112184514
1324.729,True,qupa_C0,-3.0,0.952574,57.526,TYPE_B,89.0,0,0,112184514
1419.73,True,qupa_C0,-3.0,0.952574,57.526,TYPE_B,36.0,0,0,112184514
1497.529,True,qupa_C0,-4.0,0.982014,53.781,TYPE_B,20.0,0,0,112184514
1554.729,True,qupa_C0,-5.0,0.993307,45.968,TYPE_B,3.2,0,0,112184514
1640.73,True,qupa_C0,-5.0,0.006693,60.0,TYPE_A,39.8,0,0,112184514
1712.529,True,qupa_C0,-4.0,0.017986,59.651,TYPE_A,9.8,0,0,112184514
1780.729,True,qupa_C0,-3.0,0.047426,59.062,TYPE_A,7.0,0,0,112184514
2.528,True,qupa_D2,0.0,0.5,60.0,TYPE_A,2.528,0,0,112184514
82.528,True,qupa_D2,1.0,0.731059,59.651,TYPE_A,18.0,0,0,112184514
179.728,True,qupa_D2,1.0,0.731059,59.651,TYPE_A,36.2,0,0,112184514
521.528,True,qupa_D2,1.0,0.268941,60.0,TYPE_B,279.2,0,0,112184514
605.528,True,qupa_D2,0.0,0.5,59.651,TYPE_B,23.6,0,0,112184514
678.528,True,qupa_D2,-1.0,0.268941,60.0,TYPE_A,13.0,0,0,112184514
920.528,True,qupa_D2,0.0,0.5,60.0,TYPE_A,180.0,0,0,112184514
1030.528,True,qupa_D2,0.0,0.5,60.0,TYPE_B,49.0,0,0,112184514
1103.528,True,qupa_D2,-1.0,0.731059,59.651,TYPE_B,12.8,0,0,112184514
1184.528,True,qupa_D2,-2.0,0.880797,59.062,TYPE_B,18.0,0,0,112184514
1261.528,True,qupa_D2,-3.0,0.952574,57.526,TYPE_B,17.6,0,0,112184514
1341.528,True,qupa_D2,-4.0,0.017986,60.0,TYPE_A,22.2,0,0,112184514
1407.528,True,qupa_D2,-3.0,0.047426,59.651,TYPE_A,5.0,0,0,112184514
1476.528,True,qupa_D2,-2.0,0.119203,59.062,TYPE_A,8.0,0,0,112184514
