tick,greedy,robot,m,p_x,planned_wticks,task,search_ticks,x,y,seed
30.330,true,qupa_7E,0.000000,0.500000,60.000,TYPE_B,30.330,0,0,112184514
100.330,true,qupa_7E,-1.000000,0.731059,59.651,TYPE_B,9.600,0,0,112184514
190.330,true,qupa_7E,-2.000000,0.880797,59.062,TYPE_B,30.000,0,0,112184514
557.330,true,qupa_7E,0.000000,0.500000,60.000,TYPE_B,306.000,0,0,112184514
634.330,true,qupa_7E,-1.000000,0.731059,59.651,TYPE_B,13.600,0,0,112184514
716.330,true,qupa_7E,-2.000000,0.880797,59.062,TYPE_B,22.000,0,0,112184514
787.330,true,qupa_7E,-3.000000,0.952574,57.526,TYPE_B,10.000,0,0,112184514
866.330,true,qupa_7E,-4.000000,0.982014,53.781,TYPE_B,20.000,0,0,112184514
930.330,true,qupa_7E,-5.000000,0.993307,45.968,TYPE_B,7.000,0,0,112184514
993.330,true,qupa_7E,-6.000000,0.002473,60.000,TYPE_A,16.800,0,0,112184514
1066.330,true,qupa_7E,-5.000000,0.993307,45.968,TYPE_B,12.000,0,0,112184514
1133.330,true,qupa_7E,-6.000000,0.002473,60.000,TYPE_A,19.000,0,0,112184514
1196.730,true,qupa_7E,-5.000000,0.006693,59.651,TYPE_A,3.200,0,0,112184514
1276.530,true,qupa_7E,-4.000000,0.982014,53.781,TYPE_B,19.800,0,0,112184514
1614.330,true,qupa_7E,0.000000,0.500000,60.000,TYPE_B,283.000,0,0,112184514
1751.330,true,qupa_7E,0.000000,0.500000,60.000,TYPE_A,76.600,0,0,112184514
