tick,greedy,robot,m,p_x,planned_wticks,task,search_ticks,x,y,seed
530.135,true,qupa_AE,0.000000,0.500000,60.000,TYPE_B,530.135,0,0,112184514
596.135,true,qupa_AE,-1.000000,0.268941,60.000,TYPE_A,5.000,0,0,112184514
660.135,true,qupa_AE,0.000000,0.500000,59.651,TYPE_A,3.000,0,0,112184514
778.135,true,qupa_AE,1.000000,0.731059,59.062,TYPE_A,56.000,0,0,112184514
855.135,true,qupa_AE,2.000000,0.119203,60.000,TYPE_B,16.000,0,0,112184514
939.135,true,qupa_AE,1.000000,0.731059,59.062,TYPE_A,22.000,0,0,112184514
1024.135,true,qupa_AE,2.000000,0.880797,57.526,TYPE_A,25.600,0,0,112184514
1111.135,true,qupa_AE,3.000000,0.047426,60.000,TYPE_B,28.000,0,0,112184514
1189.135,true,qupa_AE,2.000000,0.119203,59.651,TYPE_B,16.000,0,0,112184514
1264.135,true,qupa_AE,1.000000,0.268941,59.062,TYPE_B,14.000,0,0,112184514
1387.335,true,qupa_AE,0.000000,0.500000,59.651,TYPE_B,62.200,0,0,112184514
1462.135,true,qupa_AE,-1.000000,0.731059,59.062,TYPE_B,13.000,0,0,112184514
1534.135,true,qupa_AE,-2.000000,0.880797,57.526,TYPE_B,11.000,0,0,112184514
1602.135,true,qupa_AE,-3.000000,0.952574,53.781,TYPE_B,9.000,0,0,112184514
1669.135,true,qupa_AE,-4.000000,0.017986,60.000,TYPE_A,11.000,0,0,112184514
1743.135,true,qupa_AE,-3.000000,0.047426,59.651,TYPE_A,11.000,0,0,112184514
