tick,greedy,robot,m,p_x,planned_wticks,task,search_ticks,x,y,seed
147.929,true,qupa_F4,0.000000,0.500000,60.000,TYPE_B,147.929,0,0,112184514
217.929,true,qupa_F4,-1.000000,0.731059,59.651,TYPE_B,9.600,0,0,112184514
285.929,true,qupa_F4,-2.000000,0.119203,60.000,TYPE_A,7.000,0,0,112184514
353.929,true,qupa_F4,-1.000000,0.268941,59.651,TYPE_A,7.000,0,0,112184514
494.929,true,qupa_F4,0.000000,0.500000,60.000,TYPE_A,81.000,0,0,112184514
562.929,true,qupa_F4,1.000000,0.731059,59.651,TYPE_A,7.000,0,0,112184514
651.929,true,qupa_F4,2.000000,0.880797,59.062,TYPE_A,29.000,0,0,112184514
719.929,true,qupa_F4,3.000000,0.952574,57.526,TYPE_A,5.800,0,0,112184514
790.929,true,qupa_F4,4.000000,0.982014,53.781,TYPE_A,13.200,0,0,112184514
851.929,true,qupa_F4,5.000000,0.993307,45.968,TYPE_A,6.000,0,0,112184514
915.929,true,qupa_F4,6.000000,0.997527,33.913,TYPE_A,17.800,0,0,112184514
954.929,true,qupa_F4,7.000000,0.999089,21.858,TYPE_A,4.000,0,0,112184514
981.929,true,qupa_F4,8.000000,0.999665,14.045,TYPE_A,4.800,0,0,112184514
1008.329,true,qupa_F4,9.000000,0.999877,10.300,TYPE_A,11.400,0,0,112184514
1319.529,true,qupa_F4,4.000000,0.017986,60.000,TYPE_B,300.600,0,0,112184514
1393.929,true,qupa_F4,3.000000,0.047426,59.651,TYPE_B,13.000,0,0,112184514
1478.929,true,qupa_F4,2.000000,0.880797,59.062,TYPE_A,22.000,0,0,112184514
1542.929,true,qupa_F4,3.000000,0.952574,57.526,TYPE_A,4.000,0,0,112184514
1689.929,true,qupa_F4,3.000000,0.952574,57.526,TYPE_A,89.200,0,0,112184514
1755.929,true,qupa_F4,4.000000,0.017986,60.000,TYPE_B,7.000,0,0,112184514
