tick,greedy,robot,m,p_x,planned_wticks,task,search_ticks,x,y,seed
24.228,true,qupa_48,0.000000,0.500000,60.000,TYPE_A,24.228,0,0,1821668698
98.428,true,qupa_48,1.000000,0.731059,59.651,TYPE_A,12.200,0,0,1821668698
164.228,true,qupa_48,2.000000,0.880797,59.062,TYPE_A,5.000,0,0,1821668698
263.228,true,qupa_48,2.000000,0.119203,60.000,TYPE_B,38.000,0,0,1821668698
329.228,true,qupa_48,1.000000,0.268941,59.651,TYPE_B,4.000,0,0,1821668698
397.428,true,qupa_48,0.000000,0.500000,59.062,TYPE_B,7.200,0,0,1821668698
461.228,true,qupa_48,-1.000000,0.731059,57.526,TYPE_B,3.000,0,0,1821668698
576.228,true,qupa_48,-1.000000,0.268941,60.000,TYPE_A,57.200,0,0,1821668698
653.228,true,qupa_48,0.000000,0.500000,59.651,TYPE_A,15.000,0,0,1821668698
740.228,true,qupa_48,1.000000,0.268941,59.651,TYPE_B,25.800,0,0,1821668698
804.428,true,qupa_48,0.000000,0.500000,59.062,TYPE_B,3.200,0,0,1821668698
944.228,true,qupa_48,0.000000,0.500000,59.651,TYPE_B,80.000,0,0,1821668698
1022.228,true,qupa_48,-1.000000,0.731059,59.062,TYPE_B,17.000,0,0,1821668698
1112.228,true,qupa_48,-1.000000,0.268941,60.000,TYPE_A,29.000,0,0,1821668698
1179.228,true,qupa_48,0.000000,0.500000,59.651,TYPE_A,5.200,0,0,1821668698
1262.228,true,qupa_48,1.000000,0.731059,59.062,TYPE_A,22.000,0,0,1821668698
1329.228,true,qupa_48,2.000000,0.880797,57.526,TYPE_A,6.000,0,0,1821668698
1430.228,true,qupa_48,2.000000,0.880797,57.526,TYPE_A,42.000,0,0,1821668698
1521.228,true,qupa_48,2.000000,0.880797,57.526,TYPE_A,33.200,0,0,1821668698
1585.228,true,qupa_48,3.000000,0.952574,53.781,TYPE_A,6.000,0,0,1821668698
1653.228,true,qupa_48,4.000000,0.982014,45.968,TYPE_A,14.000,0,0,1821668698
1718.228,true,qupa_48,5.000000,0.993307,33.913,TYPE_A,18.000,0,0,1821668698
