tick,greedy,robot,m,p_x,planned_wticks,task,search_ticks,x,y,seed
62.830,true,qupa_D2,0.000000,0.500000,60.000,TYPE_B,62.830,0,0,1821668698
140.830,true,qupa_D2,-1.000000,0.731059,59.651,TYPE_B,17.800,0,0,1821668698
222.430,true,qupa_D2,-2.000000,0.119203,60.000,TYPE_A,19.600,0,0,1821668698
290.830,true,qupa_D2,-1.000000,0.268941,59.651,TYPE_A,8.200,0,0,1821668698
363.830,true,qupa_D2,0.000000,0.500000,59.062,TYPE_A,13.000,0,0,1821668698
440.830,true,qupa_D2,1.000000,0.268941,60.000,TYPE_B,16.000,0,0,1821668698
552.830,true,qupa_D2,0.000000,0.500000,60.000,TYPE_B,51.800,0,0,1821668698
616.830,true,qupa_D2,-1.000000,0.731059,59.651,TYPE_B,3.000,0,0,1821668698
691.830,true,qupa_D2,-2.000000,0.119203,60.000,TYPE_A,15.000,0,0,1821668698
760.830,true,qupa_D2,-1.000000,0.731059,59.651,TYPE_B,8.800,0,0,1821668698
841.430,true,qupa_D2,-2.000000,0.880797,59.062,TYPE_B,17.800,0,0,1821668698
992.630,true,qupa_D2,-2.000000,0.119203,60.000,TYPE_A,90.800,0,0,1821668698
1081.830,true,qupa_D2,-1.000000,0.268941,59.651,TYPE_A,28.800,0,0,1821668698
1160.830,true,qupa_D2,0.000000,0.500000,59.062,TYPE_A,18.000,0,0,1821668698
1239.830,true,qupa_D2,1.000000,0.731059,57.526,TYPE_A,18.000,0,0,1821668698
1307.830,true,qupa_D2,2.000000,0.880797,53.781,TYPE_A,10.200,0,0,1821668698
1365.830,true,qupa_D2,3.000000,0.952574,45.968,TYPE_A,4.000,0,0,1821668698
1474.830,true,qupa_D2,2.000000,0.119203,60.000,TYPE_B,61.000,0,0,1821668698
1555.830,true,qupa_D2,1.000000,0.731059,57.526,TYPE_A,20.800,0,0,1821668698
1627.830,true,qupa_D2,2.000000,0.119203,60.000,TYPE_B,14.200,0,0,1821668698
1701.830,true,qupa_D2,1.000000,0.268941,59.651,TYPE_B,13.000,0,0,1821668698
1788.830,true,qupa_D2,0.000000,0.500000,59.062,TYPE_A,26.000,0,0,1821668698
