tick,greedy,robot,m,p_x,planned_wticks,task,search_ticks,x,y,seed
42.063,true,qupa_C0,0.000000,0.500000,60.000,TYPE_A,42.063,0,0,1889233120
112.063,true,qupa_C0,1.000000,0.731059,59.651,TYPE_A,9.000,0,0,1889233120
187.063,true,qupa_C0,2.000000,0.880797,59.062,TYPE_A,14.000,0,0,1889233120
262.063,true,qupa_C0,3.000000,0.952574,57.526,TYPE_A,15.600,0,0,1889233120
359.263,true,qupa_C0,3.000000,0.952574,57.526,TYPE_A,39.400,0,0,1889233120
430.063,true,qupa_C0,4.000000,0.017986,60.000,TYPE_B,12.000,0,0,1889233120
510.063,true,qupa_C0,3.000000,0.952574,57.526,TYPE_A,18.000,0,0,1889233120
585.063,true,qupa_C0,4.000000,0.982014,53.781,TYPE_A,16.000,0,0,1889233120
643.063,true,qupa_C0,5.000000,0.993307,45.968,TYPE_A,4.000,0,0,1889233120
735.063,true,qupa_C0,5.000000,0.993307,45.968,TYPE_A,44.000,0,0,1889233120
820.063,true,qupa_C0,5.000000,0.993307,45.968,TYPE_A,36.000,0,0,1889233120
874.063,true,qupa_C0,6.000000,0.997527,33.913,TYPE_A,7.800,0,0,1889233120
957.063,true,qupa_C0,6.000000,0.997527,33.913,TYPE_A,48.000,0,0,1889233120
1083.063,true,qupa_C0,5.000000,0.993307,45.968,TYPE_A,91.000,0,0,1889233120
1146.063,true,qupa_C0,6.000000,0.997527,33.913,TYPE_A,16.800,0,0,1889233120
1214.063,true,qupa_C0,6.000000,0.997527,33.913,TYPE_A,33.800,0,0,1889233120
1329.063,true,qupa_C0,5.000000,0.993307,45.968,TYPE_A,80.000,0,0,1889233120
1391.063,true,qupa_C0,6.000000,0.002473,60.000,TYPE_B,15.800,0,0,1889233120
1523.063,true,qupa_C0,3.000000,0.047426,60.000,TYPE_B,71.800,0,0,1889233120
1624.063,true,qupa_C0,1.000000,0.268941,60.000,TYPE_B,40.000,0,0,1889233120
1722.063,true,qupa_C0,0.000000,0.500000,60.000,TYPE_A,36.000,0,0,1889233120
