tick,greedy,robot,m,p_x,planned_wticks,task,search_ticks,x,y,seed
106.108,false,qupa_C0,0.000000,0.500000,60.000,TYPE_B,106.108,0,0,1763594568
257.708,false,qupa_C0,0.000000,0.500000,60.000,TYPE_B,90.600,0,0,1763594568
355.108,false,qupa_C0,0.000000,0.500000,60.000,TYPE_A,37.200,0,0,1763594568
606.108,false,qupa_C0,0.000000,0.500000,60.000,TYPE_B,189.000,0,0,1763594568
727.108,false,qupa_C0,0.000000,0.500000,60.000,TYPE_B,59.000,0,0,1763594568
793.108,false,qupa_C0,-1.000000,0.731059,59.651,TYPE_B,4.000,0,0,1763594568
856.508,false,qupa_C0,-2.000000,0.880797,59.062,TYPE_B,3.400,0,0,1763594568
998.108,false,qupa_C0,-1.000000,0.731059,59.651,TYPE_B,82.200,0,0,1763594568
1101.108,false,qupa_C0,-1.000000,0.268941,60.000,TYPE_A,43.000,0,0,1763594568
1186.108,false,qupa_C0,0.000000,0.500000,59.651,TYPE_A,23.000,0,0,1763594568
1287.308,false,qupa_C0,0.000000,0.500000,60.000,TYPE_B,41.200,0,0,1763594568
1406.108,false,qupa_C0,0.000000,0.500000,60.000,TYPE_B,58.600,0,0,1763594568
1509.108,false,qupa_C0,0.000000,0.500000,60.000,TYPE_A,42.000,0,0,1763594568
1633.108,false,qupa_C0,0.000000,0.500000,60.000,TYPE_B,63.000,0,0,1763594568
1772.108,false,qupa_C0,0.000000,0.500000,60.000,TYPE_A,78.000,0,0,1763594568
