tick,greedy,robot,m,p_x,planned_wticks,task,search_ticks,x,y,seed
26.910,false,qupa_D2,0.000000,0.500000,60.000,TYPE_A,26.910,0,0,1763594568
114.910,false,qupa_D2,1.000000,0.731059,59.651,TYPE_A,27.600,0,0,1763594568
178.911,false,qupa_D2,2.000000,0.880797,59.062,TYPE_A,3.000,0,0,1763594568
253.910,false,qupa_D2,3.000000,0.952574,57.526,TYPE_A,15.600,0,0,1763594568
317.910,false,qupa_D2,4.000000,0.982014,53.781,TYPE_A,5.000,0,0,1763594568
377.110,false,qupa_D2,5.000000,0.993307,45.968,TYPE_A,3.200,0,0,1763594568
426.910,false,qupa_D2,6.000000,0.997527,33.913,TYPE_A,3.600,0,0,1763594568
464.911,false,qupa_D2,7.000000,0.999089,21.858,TYPE_A,3.000,0,0,1763594568
491.910,false,qupa_D2,8.000000,0.999665,14.045,TYPE_A,4.800,0,0,1763594568
514.910,false,qupa_D2,9.000000,0.999877,10.300,TYPE_A,8.600,0,0,1763594568
528.911,false,qupa_D2,10.000000,0.999955,8.764,TYPE_A,3.400,0,0,1763594568
543.910,false,qupa_D2,11.000000,0.999983,8.175,TYPE_A,4.000,0,0,1763594568
580.910,false,qupa_D2,12.000000,0.999994,8.000,TYPE_A,27.000,0,0,1763594568
597.910,false,qupa_D2,12.000000,0.999994,8.000,TYPE_A,7.000,0,0,1763594568
624.910,false,qupa_D2,12.000000,0.999994,8.000,TYPE_A,18.600,0,0,1763594568
869.910,false,qupa_D2,5.000000,0.993307,45.968,TYPE_A,236.800,0,0,1763594568
966.910,false,qupa_D2,5.000000,0.993307,45.968,TYPE_A,50.800,0,0,1763594568
1203.910,false,qupa_D2,0.000000,0.500000,60.000,TYPE_A,190.000,0,0,1763594568
1267.911,false,qupa_D2,1.000000,0.731059,59.651,TYPE_A,3.000,0,0,1763594568
1337.910,false,qupa_D2,2.000000,0.880797,59.062,TYPE_A,10.000,0,0,1763594568
1400.910,false,qupa_D2,3.000000,0.952574,57.526,TYPE_A,3.600,0,0,1763594568
1584.910,false,qupa_D2,1.000000,0.268941,60.000,TYPE_B,126.200,0,0,1763594568
