tick,greedy,robot,m,p_x,planned_wticks,task,search_ticks,x,y,seed
121.917,false,qupa_27,0.000000,0.500000,60.000,TYPE_B,121.917,0,0,289852478
201.717,false,qupa_27,-1.000000,0.731059,59.651,TYPE_B,19.000,0,0,289852478
280.717,false,qupa_27,-2.000000,0.119203,60.000,TYPE_A,18.000,0,0,289852478
440.717,false,qupa_27,0.000000,0.500000,60.000,TYPE_A,99.000,0,0,289852478
506.717,false,qupa_27,1.000000,0.731059,59.651,TYPE_A,4.000,0,0,289852478
667.717,false,qupa_27,1.000000,0.731059,59.651,TYPE_A,99.000,0,0,289852478
798.717,false,qupa_27,0.000000,0.500000,60.000,TYPE_B,70.000,0,0,289852478
885.717,false,qupa_27,-1.000000,0.731059,59.651,TYPE_B,26.600,0,0,289852478
1070.717,false,qupa_27,0.000000,0.500000,60.000,TYPE_B,123.000,0,0,289852478
1153.717,false,qupa_27,-1.000000,0.731059,59.651,TYPE_B,21.000,0,0,289852478
1257.717,false,qupa_27,-1.000000,0.268941,60.000,TYPE_A,42.000,0,0,289852478
1332.717,false,qupa_27,0.000000,0.500000,60.000,TYPE_B,13.000,0,0,289852478
1435.717,false,qupa_27,0.000000,0.500000,60.000,TYPE_B,42.600,0,0,289852478
1512.717,false,qupa_27,-1.000000,0.731059,59.651,TYPE_B,15.000,0,0,289852478
1652.717,false,qupa_27,0.000000,0.500000,60.000,TYPE_A,79.000,0,0,289852478
1717.717,false,qupa_27,1.000000,0.731059,59.651,TYPE_A,3.000,0,0,289852478
