tick,greedy,robot,m,p_x,planned_wticks,task,search_ticks,x,y,seed
9.759,false,qupa_7E,0.000000,0.500000,60.000,TYPE_B,9.759,0,0,874959922
192.759,false,qupa_7E,0.000000,0.500000,60.000,TYPE_B,122.800,0,0,874959922
323.759,false,qupa_7E,0.000000,0.500000,60.000,TYPE_B,70.800,0,0,874959922
416.959,false,qupa_7E,-1.000000,0.731059,59.651,TYPE_B,33.000,0,0,874959922
483.359,false,qupa_7E,-2.000000,0.880797,59.062,TYPE_B,6.400,0,0,874959922
580.759,false,qupa_7E,-2.000000,0.880797,59.062,TYPE_B,37.000,0,0,874959922
663.759,false,qupa_7E,-3.000000,0.952574,57.526,TYPE_B,22.000,0,0,874959922
750.759,false,qupa_7E,-4.000000,0.982014,53.781,TYPE_B,28.000,0,0,874959922
816.759,false,qupa_7E,-5.000000,0.993307,45.968,TYPE_B,11.000,0,0,874959922
874.759,false,qupa_7E,-6.000000,0.997527,33.913,TYPE_B,11.800,0,0,874959922
1076.559,false,qupa_7E,-2.000000,0.880797,59.062,TYPE_B,165.800,0,0,874959922
1232.759,false,qupa_7E,0.000000,0.500000,60.000,TYPE_B,96.800,0,0,874959922
1632.759,false,qupa_7E,0.000000,0.500000,60.000,TYPE_B,338.000,0,0,874959922
1711.759,false,qupa_7E,-1.000000,0.731059,59.651,TYPE_B,17.000,0,0,874959922
1780.759,false,qupa_7E,-2.000000,0.880797,59.062,TYPE_B,8.000,0,0,874959922
