tick,greedy,robot,m,p_x,planned_wticks,task,search_ticks,x,y,seed
209.549,false,qupa_F4,0.000000,0.500000,60.000,TYPE_B,209.549,0,0,874959922
353.549,false,qupa_F4,0.000000,0.500000,60.000,TYPE_A,83.000,0,0,874959922
426.549,false,qupa_F4,1.000000,0.731059,59.651,TYPE_A,12.600,0,0,874959922
566.549,false,qupa_F4,0.000000,0.500000,60.000,TYPE_A,80.000,0,0,874959922
634.549,false,qupa_F4,1.000000,0.731059,59.651,TYPE_A,6.000,0,0,874959922
698.549,false,qupa_F4,2.000000,0.880797,59.062,TYPE_A,4.000,0,0,874959922
782.549,false,qupa_F4,3.000000,0.952574,57.526,TYPE_A,23.000,0,0,874959922
875.549,false,qupa_F4,3.000000,0.952574,57.526,TYPE_A,35.200,0,0,874959922
1148.549,false,qupa_F4,0.000000,0.500000,60.000,TYPE_B,215.200,0,0,874959922
1222.549,false,qupa_F4,-1.000000,0.731059,59.651,TYPE_B,13.600,0,0,874959922
1356.549,false,qupa_F4,0.000000,0.500000,60.000,TYPE_A,73.000,0,0,874959922
1469.549,false,qupa_F4,0.000000,0.500000,60.000,TYPE_B,52.000,0,0,874959922
1540.549,false,qupa_F4,-1.000000,0.731059,59.651,TYPE_B,7.800,0,0,874959922
1790.549,false,qupa_F4,0.000000,0.500000,60.000,TYPE_B,189.000,0,0,874959922
