tick,greedy,robot,m,p_x,planned_wticks,task,search_ticks,x,y,seed
49.421,true,qupa_F4,0.000000,0.500000,60.000,TYPE_A,49.421,0,0,2073633357
149.421,true,qupa_F4,0.000000,0.500000,60.000,TYPE_A,39.600,0,0,2073633357
212.821,true,qupa_F4,1.900000,0.869892,59.149,TYPE_A,3.200,0,0,2073633357
275.421,true,qupa_F4,3.800000,0.978119,54.796,TYPE_A,3.200,0,0,2073633357
335.621,true,qupa_F4,5.700000,0.003335,60.000,TYPE_B,5.200,0,0,2073633357
424.421,true,qupa_F4,4.700000,0.990987,48.826,TYPE_A,27.000,0,0,2073633357
477.421,true,qupa_F4,5.700000,0.996665,37.797,TYPE_A,3.000,0,0,2073633357
563.421,true,qupa_F4,5.700000,0.003335,60.000,TYPE_B,47.000,0,0,2073633357
646.421,true,qupa_F4,3.800000,0.978119,48.826,TYPE_A,22.000,0,0,2073633357
706.421,true,qupa_F4,4.800000,0.991837,37.797,TYPE_A,10.800,0,0,2073633357
756.421,true,qupa_F4,5.800000,0.996982,25.138,TYPE_A,12.000,0,0,2073633357
809.421,true,qupa_F4,6.800000,0.998887,15.885,TYPE_A,27.600,0,0,2073633357
855.421,true,qupa_F4,7.800000,0.999590,11.112,TYPE_A,28.000,0,0,2073633357
874.021,true,qupa_F4,9.700000,0.999939,8.345,TYPE_A,7.200,0,0,2073633357
902.421,true,qupa_F4,10.700000,0.999977,8.018,TYPE_A,19.800,0,0,2073633357
961.421,true,qupa_F4,10.700000,0.000023,60.000,TYPE_B,50.000,0,0,2073633357
1025.421,true,qupa_F4,9.700000,0.000061,59.651,TYPE_B,3.600,0,0,2073633357
1097.421,true,qupa_F4,7.800000,0.999590,10.300,TYPE_A,12.000,0,0,2073633357
1111.421,true,qupa_F4,9.700000,0.999939,8.212,TYPE_A,3.400,0,0,2073633357
1123.421,true,qupa_F4,10.700000,0.999977,8.000,TYPE_A,3.400,0,0,2073633357
1143.421,true,qupa_F4,12.000000,0.999994,8.000,TYPE_A,11.800,0,0,2073633357
1157.421,true,qupa_F4,12.000000,0.999994,8.000,TYPE_A,4.000,0,0,2073633357
1171.421,true,qupa_F4,12.000000,0.999994,8.000,TYPE_A,5.800,0,0,2073633357
1226.421,true,qupa_F4,11.000000,0.000017,60.000,TYPE_B,46.800,0,0,2073633357
1323.421,true,qupa_F4,8.100000,0.000303,59.684,TYPE_B,35.000,0,0,2073633357
1386.621,true,qupa_F4,6.200000,0.002025,57.957,TYPE_B,3.200,0,0,2073633357
1464.421,true,qupa_F4,4.300000,0.013387,48.826,TYPE_B,19.600,0,0,2073633357
1516.821,true,qupa_F4,2.400000,0.083173,26.314,TYPE_B,3.200,0,0,2073633357
1561.421,true,qupa_F4,0.500000,0.377541,11.784,TYPE_B,18.000,0,0,2073633357
1581.421,true,qupa_F4,-0.500000,0.622459,9.355,TYPE_B,7.000,0,0,2073633357
1605.221,true,qupa_F4,-2.400000,0.916827,8.061,TYPE_B,12.800,0,0,2073633357
1621.621,true,qupa_F4,-3.400000,0.967705,8.000,TYPE_B,8.000,0,0,2073633357
1636.421,true,qupa_F4,-5.300000,0.995033,8.000,TYPE_B,4.000,0,0,2073633357
1655.421,true,qupa_F4,-7.200000,0.999254,8.000,TYPE_B,10.800,0,0,2073633357
1671.421,true,qupa_F4,-8.200000,0.999725,8.000,TYPE_B,7.000,0,0,2073633357
1691.421,true,qupa_F4,-10.100000,0.999959,8.000,TYPE_B,11.000,0,0,2073633357
1707.421,true,qupa_F4,-11.100000,0.999985,8.000,TYPE_B,7.000,0,0,2073633357
1731.421,true,qupa_F4,-12.000000,0.999994,8.000,TYPE_B,15.000,0,0,2073633357
1760.421,true,qupa_F4,-12.000000,0.000006,60.000,TYPE_A,20.000,0,0,2073633357
