tick,greedy,robot,m,p_x,planned_wticks,task,search_ticks,x,y,seed
15.904,true,qupa_C0,0.000000,0.500000,60.000,TYPE_A,15.904,0,0,298882869
149.904,true,qupa_C0,0.800000,0.310026,60.000,TYPE_B,73.000,0,0,298882869
271.904,true,qupa_C0,0.000000,0.500000,60.000,TYPE_A,61.000,0,0,298882869
348.904,true,qupa_C0,2.800000,0.942676,57.957,TYPE_A,15.000,0,0,298882869
410.904,true,qupa_C0,4.700000,0.990987,48.826,TYPE_A,3.800,0,0,298882869
522.104,true,qupa_C0,5.500000,0.995930,40.302,TYPE_A,62.000,0,0,298882869
575.904,true,qupa_C0,7.400000,0.999389,18.147,TYPE_A,12.000,0,0,298882869
605.904,true,qupa_C0,9.300000,0.999909,9.682,TYPE_A,11.000,0,0,298882869
723.904,true,qupa_C0,8.200000,0.999725,13.030,TYPE_A,106.000,0,0,298882869
804.904,true,qupa_C0,7.200000,0.999254,19.903,TYPE_A,66.000,0,0,298882869
830.104,true,qupa_C0,8.200000,0.999725,13.030,TYPE_A,3.200,0,0,298882869
907.904,true,qupa_C0,8.100000,0.999697,13.518,TYPE_A,64.400,0,0,298882869
935.904,true,qupa_C0,10.900000,0.000018,60.000,TYPE_B,13.000,0,0,298882869
1107.904,true,qupa_C0,6.000000,0.997527,22.907,TYPE_A,111.600,0,0,298882869
1165.904,true,qupa_C0,6.000000,0.997527,22.907,TYPE_A,34.800,0,0,298882869
1195.904,true,qupa_C0,7.000000,0.999089,14.614,TYPE_A,5.000,0,0,298882869
1226.904,true,qupa_C0,8.000000,0.999665,10.547,TYPE_A,16.000,0,0,298882869
1274.504,true,qupa_C0,8.900000,0.999864,8.968,TYPE_A,36.600,0,0,298882869
1331.904,true,qupa_C0,9.800000,0.999945,8.296,TYPE_A,48.200,0,0,298882869
1345.904,true,qupa_C0,11.700000,0.999992,8.000,TYPE_A,4.000,0,0,298882869
1473.704,true,qupa_C0,9.000000,0.000123,60.000,TYPE_B,117.800,0,0,298882869
1621.904,true,qupa_C0,5.100000,0.993940,33.913,TYPE_A,88.000,0,0,298882869
1717.904,true,qupa_C0,5.900000,0.997268,24.001,TYPE_A,61.800,0,0,298882869
1786.904,true,qupa_C0,7.700000,0.999547,11.433,TYPE_A,44.600,0,0,298882869
