tick,greedy,robot,m,p_x,planned_wticks,task,search_ticks,x,y,seed
0.056,true,qupa_48,0.000000,0.500000,60.000,TYPE_B,0.056,0,0,312603905
99.256,true,qupa_48,-0.900000,0.710950,59.684,TYPE_B,38.000,0,0,312603905
168.256,true,qupa_48,-3.700000,0.975873,55.246,TYPE_B,7.000,0,0,312603905
263.256,true,qupa_48,-6.400000,0.001659,60.000,TYPE_A,38.000,0,0,312603905
328.256,true,qupa_48,-3.600000,0.973403,28.764,TYPE_B,4.000,0,0,312603905
396.256,true,qupa_48,-5.400000,0.995504,13.030,TYPE_B,39.000,0,0,312603905
416.256,true,qupa_48,-7.300000,0.999325,8.677,TYPE_B,5.000,0,0,312603905
443.256,true,qupa_48,-9.200000,0.999899,8.000,TYPE_B,18.000,0,0,312603905
490.256,true,qupa_48,-10.100000,0.000041,60.000,TYPE_A,37.800,0,0,312603905
559.256,true,qupa_48,-7.300000,0.000675,57.957,TYPE_A,7.000,0,0,312603905
668.256,true,qupa_48,-4.400000,0.012128,55.246,TYPE_A,50.800,0,0,312603905
733.256,true,qupa_48,-2.500000,0.075858,39.062,TYPE_A,8.000,0,0,312603905
781.056,true,qupa_48,-0.600000,0.354344,17.344,TYPE_A,7.800,0,0,312603905
811.256,true,qupa_48,1.300000,0.785835,9.511,TYPE_A,12.000,0,0,312603905
840.256,true,qupa_48,3.200000,0.960834,8.085,TYPE_A,16.200,0,0,312603905
861.256,true,qupa_48,5.100000,0.993940,8.000,TYPE_A,12.000,0,0,312603905
901.256,true,qupa_48,6.000000,0.997527,8.175,TYPE_A,31.000,0,0,312603905
916.256,true,qupa_48,8.800000,0.999849,8.000,TYPE_A,6.000,0,0,312603905
928.256,true,qupa_48,11.600000,0.999991,8.000,TYPE_A,3.000,0,0,312603905
976.256,true,qupa_48,11.000000,0.999983,8.175,TYPE_A,39.000,0,0,312603905
992.256,true,qupa_48,12.000000,0.999994,8.000,TYPE_A,6.000,0,0,312603905
1007.256,true,qupa_48,12.000000,0.999994,8.000,TYPE_A,6.800,0,0,312603905
1042.256,true,qupa_48,12.000000,0.999994,8.000,TYPE_A,26.000,0,0,312603905
1057.256,true,qupa_48,12.000000,0.000006,60.000,TYPE_B,6.000,0,0,312603905
1133.256,true,qupa_48,10.100000,0.999959,8.175,TYPE_A,15.800,0,0,312603905
1152.256,true,qupa_48,11.100000,0.999985,8.000,TYPE_A,10.600,0,0,312603905
1184.856,true,qupa_48,12.000000,0.000006,60.000,TYPE_B,22.600,0,0,312603905
1264.256,true,qupa_48,10.100000,0.000041,59.149,TYPE_B,17.000,0,0,312603905
1342.256,true,qupa_48,7.300000,0.000675,48.826,TYPE_B,18.600,0,0,312603905
1428.256,true,qupa_48,4.400000,0.012128,39.062,TYPE_B,36.000,0,0,312603905
1481.456,true,qupa_48,2.500000,0.924142,14.045,TYPE_A,12.200,0,0,312603905
1513.456,true,qupa_48,5.300000,0.004967,17.344,TYPE_B,17.600,0,0,312603905
1535.256,true,qupa_48,3.400000,0.032295,9.511,TYPE_B,3.000,0,0,312603905
1576.256,true,qupa_48,1.400000,0.197816,9.511,TYPE_B,30.000,0,0,312603905
1589.256,true,qupa_48,-1.400000,0.802184,8.000,TYPE_B,3.200,0,0,312603905
1618.256,true,qupa_48,-3.300000,0.964429,8.000,TYPE_B,19.000,0,0,312603905
1681.256,true,qupa_48,-5.100000,0.993940,8.175,TYPE_B,53.000,0,0,312603905
1702.256,true,qupa_48,-6.100000,0.997762,8.000,TYPE_B,12.000,0,0,312603905
1715.256,true,qupa_48,-7.100000,0.000824,54.796,TYPE_A,4.000,0,0,312603905
1791.856,true,qupa_48,-5.200000,0.005486,37.797,TYPE_A,21.600,0,0,312603905
