tick,greedy,robot,m,p_x,planned_wticks,task,search_ticks,x,y,seed
33.059,true,qupa_7E,0.000000,0.500000,60.000,TYPE_A,33.059,0,0,312603905
98.259,true,qupa_7E,2.800000,0.057324,60.000,TYPE_B,3.200,0,0,312603905
250.059,true,qupa_7E,0.000000,0.500000,60.000,TYPE_A,91.600,0,0,312603905
317.059,true,qupa_7E,1.900000,0.869892,59.149,TYPE_A,6.800,0,0,312603905
382.259,true,qupa_7E,4.700000,0.990987,48.826,TYPE_A,3.200,0,0,312603905
437.059,true,qupa_7E,7.500000,0.999447,17.344,TYPE_A,5.600,0,0,312603905
467.059,true,qupa_7E,8.500000,0.000203,60.000,TYPE_B,12.000,0,0,312603905
534.059,true,qupa_7E,7.500000,0.999447,17.344,TYPE_A,5.000,0,0,312603905
755.059,true,qupa_7E,3.400000,0.032295,60.000,TYPE_B,202.000,0,0,312603905
823.059,true,qupa_7E,0.600000,0.354344,57.957,TYPE_B,7.600,0,0,312603905
922.059,true,qupa_7E,-1.200000,0.768525,49.679,TYPE_B,40.000,0,0,312603905
997.059,true,qupa_7E,-3.100000,0.956893,27.524,TYPE_B,24.000,0,0,312603905
1163.059,true,qupa_7E,-4.000000,0.982014,18.147,TYPE_B,137.000,0,0,312603905
1204.059,true,qupa_7E,-5.000000,0.993307,12.166,TYPE_B,21.000,0,0,312603905
1222.059,true,qupa_7E,-6.000000,0.997527,9.511,TYPE_B,4.000,0,0,312603905
1245.059,true,qupa_7E,-8.800000,0.999849,8.000,TYPE_B,12.000,0,0,312603905
1347.059,true,qupa_7E,-7.800000,0.000410,60.000,TYPE_A,92.000,0,0,312603905
1427.059,true,qupa_7E,-5.000000,0.993307,8.764,TYPE_B,19.600,0,0,312603905
1450.059,true,qupa_7E,-6.900000,0.998993,8.000,TYPE_B,13.000,0,0,312603905
1480.059,true,qupa_7E,-9.700000,0.999939,8.000,TYPE_B,20.000,0,0,312603905
1496.259,true,qupa_7E,-11.600000,0.000009,59.714,TYPE_A,5.800,0,0,312603905
1573.259,true,qupa_7E,-8.800000,0.999849,8.000,TYPE_B,15.200,0,0,312603905
