tick,greedy,robot,m,p_x,planned_wticks,task,search_ticks,x,y,seed
46.455,true,qupa_AE,0.000000,0.500000,60.000,TYPE_B,46.455,0,0,312603905
114.455,true,qupa_AE,-2.800000,0.942676,57.957,TYPE_B,6.000,0,0,312603905
219.456,true,qupa_AE,-4.600000,0.990048,49.679,TYPE_B,45.000,0,0,312603905
331.455,true,qupa_AE,-5.400000,0.995504,41.513,TYPE_B,61.000,0,0,312603905
392.455,true,qupa_AE,-7.300000,0.000675,60.000,TYPE_A,18.000,0,0,312603905
521.455,true,qupa_AE,-2.500000,0.075858,59.714,TYPE_A,67.000,0,0,312603905
615.456,true,qupa_AE,0.200000,0.450166,51.941,TYPE_B,32.000,0,0,312603905
674.455,true,qupa_AE,-0.800000,0.689974,42.688,TYPE_B,5.000,0,0,312603905
733.455,true,qupa_AE,-3.600000,0.973403,13.518,TYPE_B,16.000,0,0,312603905
754.455,true,qupa_AE,-5.500000,0.004070,59.427,TYPE_A,6.000,0,0,312603905
842.455,true,qupa_AE,-3.600000,0.973403,10.300,TYPE_B,27.000,0,0,312603905
872.455,true,qupa_AE,-5.500000,0.004070,58.612,TYPE_A,17.000,0,0,312603905
946.455,true,qupa_AE,-3.600000,0.026597,51.941,TYPE_A,14.000,0,0,312603905
1011.655,true,qupa_AE,-1.700000,0.154465,31.313,TYPE_A,10.200,0,0,312603905
1057.455,true,qupa_AE,-0.700000,0.668188,14.614,TYPE_B,13.000,0,0,312603905
1282.455,true,qupa_AE,0.000000,0.500000,54.796,TYPE_B,208.000,0,0,312603905
1350.455,true,qupa_AE,-1.900000,0.130108,60.000,TYPE_A,11.000,0,0,312603905
1451.455,true,qupa_AE,0.000000,0.500000,59.684,TYPE_A,40.000,0,0,312603905
1529.455,true,qupa_AE,1.900000,0.869892,57.957,TYPE_A,17.000,0,0,312603905
