tick,greedy,robot,m,p_x,planned_wticks,task,search_ticks,x,y,seed
3.093,true,qupa_D2,0.000000,0.500000,60.000,TYPE_B,3.093,0,0,965526558
128.893,true,qupa_D2,0.000000,0.500000,60.000,TYPE_B,65.600,0,0,965526558
269.893,true,qupa_D2,-0.900000,0.710950,59.684,TYPE_B,80.600,0,0,965526558
359.893,true,qupa_D2,-4.600000,0.009952,60.000,TYPE_A,29.000,0,0,965526558
450.893,true,qupa_D2,-0.800000,0.689974,55.661,TYPE_B,29.000,0,0,965526558
510.093,true,qupa_D2,-3.600000,0.973403,28.764,TYPE_B,3.200,0,0,965526558
545.893,true,qupa_D2,-4.600000,0.990048,18.147,TYPE_B,5.000,0,0,965526558
577.893,true,qupa_D2,-5.600000,0.003684,60.000,TYPE_A,13.000,0,0,965526558
707.893,true,qupa_D2,-2.600000,0.069138,60.000,TYPE_A,68.000,0,0,965526558
774.893,true,qupa_D2,-1.600000,0.832018,51.236,TYPE_B,5.000,0,0,965526558
829.893,true,qupa_D2,-2.600000,0.930862,41.513,TYPE_B,3.400,0,0,965526558
879.893,true,qupa_D2,-3.600000,0.973403,28.764,TYPE_B,7.000,0,0,965526558
926.893,true,qupa_D2,-4.600000,0.009952,60.000,TYPE_A,18.000,0,0,965526558
1006.693,true,qupa_D2,-3.600000,0.026597,59.651,TYPE_A,17.800,0,0,965526558
1078.893,true,qupa_D2,-2.600000,0.930862,41.513,TYPE_B,12.200,0,0,965526558
1204.893,true,qupa_D2,-1.600000,0.832018,51.236,TYPE_B,83.000,0,0,965526558
1274.893,true,qupa_D2,-2.600000,0.930862,41.513,TYPE_B,18.400,0,0,965526558
1320.893,true,qupa_D2,-3.600000,0.973403,28.764,TYPE_B,4.200,0,0,965526558
1362.893,true,qupa_D2,-4.600000,0.990048,18.147,TYPE_B,12.000,0,0,965526558
1406.893,true,qupa_D2,-5.600000,0.003684,60.000,TYPE_A,24.000,0,0,965526558
1475.893,true,qupa_D2,-4.600000,0.009952,59.651,TYPE_A,8.000,0,0,965526558
1545.693,true,qupa_D2,-3.600000,0.026597,59.062,TYPE_A,7.800,0,0,965526558
1667.093,true,qupa_D2,-1.600000,0.832018,51.236,TYPE_B,60.200,0,0,965526558
1728.893,true,qupa_D2,-2.600000,0.930862,41.513,TYPE_B,9.000,0,0,965526558
1783.893,true,qupa_D2,-3.600000,0.973403,28.764,TYPE_B,13.200,0,0,965526558
