tick,greedy,robot,m,p_x,planned_wticks,task,search_ticks,x,y,seed
10.503,false,qupa_48,0.000000,0.500000,60.000,TYPE_B,10.503,0,0,1413570576
79.503,false,qupa_48,-2.800000,0.942676,57.957,TYPE_B,8.000,0,0,1413570576
207.503,false,qupa_48,-3.600000,0.973403,55.661,TYPE_B,69.800,0,0,1413570576
360.503,false,qupa_48,-2.500000,0.924142,58.471,TYPE_B,97.000,0,0,1413570576
427.503,false,qupa_48,-4.400000,0.987872,51.236,TYPE_B,8.200,0,0,1413570576
538.503,false,qupa_48,-5.300000,0.995033,42.688,TYPE_B,59.400,0,0,1413570576
605.503,false,qupa_48,-7.200000,0.999254,19.903,TYPE_B,23.000,0,0,1413570576
635.503,false,qupa_48,-9.100000,0.999888,10.075,TYPE_B,9.800,0,0,1413570576
726.503,false,qupa_48,-9.000000,0.999877,10.300,TYPE_B,79.000,0,0,1413570576
741.503,false,qupa_48,-10.900000,0.999982,8.212,TYPE_B,3.000,0,0,1413570576
800.503,false,qupa_48,-10.900000,0.999982,8.212,TYPE_B,50.400,0,0,1413570576
821.503,false,qupa_48,-12.000000,0.999994,8.000,TYPE_B,12.400,0,0,1413570576
842.503,false,qupa_48,-12.000000,0.999994,8.000,TYPE_B,11.000,0,0,1413570576
952.503,false,qupa_48,-9.000000,0.999877,10.300,TYPE_B,100.000,0,0,1413570576
990.503,false,qupa_48,-10.000000,0.999955,8.764,TYPE_B,26.000,0,0,1413570576
1017.503,false,qupa_48,-11.900000,0.999993,8.000,TYPE_B,17.000,0,0,1413570576
1045.503,false,qupa_48,-12.000000,0.999994,8.000,TYPE_B,19.600,0,0,1413570576
