tick,greedy,robot,m,p_x,planned_wticks,task,search_ticks,x,y,seed
9.132,false,qupa_D2,0.000000,0.500000,60.000,TYPE_A,9.132,0,0,1874875436
94.132,false,qupa_D2,1.000000,0.731059,59.651,TYPE_A,23.000,0,0,1874875436
157.132,false,qupa_D2,2.900000,0.947846,57.751,TYPE_A,3.000,0,0,1874875436
235.132,false,qupa_D2,4.800000,0.991837,47.923,TYPE_A,19.000,0,0,1874875436
453.132,false,qupa_D2,2.700000,0.937027,58.144,TYPE_A,168.000,0,0,1874875436
520.132,false,qupa_D2,3.700000,0.975873,55.246,TYPE_A,8.600,0,0,1874875436
582.532,false,qupa_D2,4.700000,0.990987,48.826,TYPE_A,5.400,0,0,1874875436
683.132,false,qupa_D2,4.700000,0.990987,48.826,TYPE_A,50.000,0,0,1874875436
773.132,false,qupa_D2,4.700000,0.990987,48.826,TYPE_A,40.800,0,0,1874875436
839.132,false,qupa_D2,5.700000,0.996665,37.797,TYPE_A,16.000,0,0,1874875436
1042.332,false,qupa_D2,1.700000,0.845535,59.302,TYPE_A,164.200,0,0,1874875436
1145.132,false,qupa_D2,1.700000,0.845535,59.302,TYPE_A,41.000,0,0,1874875436
1247.132,false,qupa_D2,1.700000,0.845535,59.302,TYPE_A,41.000,0,0,1874875436
1317.132,false,qupa_D2,2.700000,0.937027,58.144,TYPE_A,9.000,0,0,1874875436
1445.132,false,qupa_D2,1.700000,0.154465,60.000,TYPE_B,69.600,0,0,1874875436
1551.132,false,qupa_D2,0.000000,0.500000,60.000,TYPE_A,45.000,0,0,1874875436
1654.132,false,qupa_D2,0.000000,0.500000,60.000,TYPE_B,41.000,0,0,1874875436
1718.132,false,qupa_D2,-1.000000,0.731059,59.651,TYPE_B,3.800,0,0,1874875436
1782.332,false,qupa_D2,-2.000000,0.880797,59.062,TYPE_B,3.200,0,0,1874875436
