tick,greedy,robot,m,p_x,planned_wticks,task,search_ticks,x,y,seed
11.087,false,qupa_7E,0.000000,0.500000,60.000,TYPE_B,11.087,0,0,352818123
87.287,false,qupa_7E,-2.800000,0.942676,57.957,TYPE_B,15.200,0,0,352818123
185.087,false,qupa_7E,-3.700000,0.975873,55.246,TYPE_B,38.000,0,0,352818123
246.087,false,qupa_7E,-5.600000,0.996316,39.062,TYPE_B,4.000,0,0,352818123
292.087,false,qupa_7E,-7.500000,0.999447,17.344,TYPE_B,6.000,0,0,352818123
462.087,false,qupa_7E,-5.400000,0.995504,41.513,TYPE_B,151.000,0,0,352818123
515.087,false,qupa_7E,-7.300000,0.999325,19.000,TYPE_B,10.000,0,0,352818123
596.087,false,qupa_7E,-8.100000,0.999697,13.518,TYPE_B,60.000,0,0,352818123
633.087,false,qupa_7E,-10.000000,0.999955,8.764,TYPE_B,22.000,0,0,352818123
718.087,false,qupa_7E,-9.900000,0.999950,8.861,TYPE_B,75.000,0,0,352818123
736.087,false,qupa_7E,-11.800000,0.999992,8.000,TYPE_B,7.000,0,0,352818123
753.087,false,qupa_7E,-12.000000,0.999994,8.000,TYPE_B,8.000,0,0,352818123
788.087,false,qupa_7E,-12.000000,0.999994,8.000,TYPE_B,25.000,0,0,352818123
802.287,false,qupa_7E,-12.000000,0.999994,8.000,TYPE_B,4.200,0,0,352818123
961.087,false,qupa_7E,-8.000000,0.999665,14.045,TYPE_B,149.000,0,0,352818123
983.687,false,qupa_7E,-9.000000,0.999877,10.300,TYPE_B,5.400,0,0,352818123
1006.087,false,qupa_7E,-10.000000,0.999955,8.764,TYPE_B,11.800,0,0,352818123
1072.087,false,qupa_7E,-10.900000,0.999982,8.212,TYPE_B,57.000,0,0,352818123
1143.287,false,qupa_7E,-10.000000,0.999955,8.764,TYPE_B,61.200,0,0,352818123
1178.487,false,qupa_7E,-12.000000,0.999994,8.000,TYPE_B,26.200,0,0,352818123
1284.087,false,qupa_7E,-9.000000,0.999877,10.300,TYPE_B,97.200,0,0,352818123
1436.687,false,qupa_7E,-6.900000,0.998993,22.907,TYPE_B,140.600,0,0,352818123
1465.087,false,qupa_7E,-9.700000,0.999939,9.085,TYPE_B,4.000,0,0,352818123
1509.687,false,qupa_7E,-9.700000,0.999939,9.085,TYPE_B,33.600,0,0,352818123
1563.287,false,qupa_7E,-9.700000,0.999939,9.085,TYPE_B,44.200,0,0,352818123
1610.087,false,qupa_7E,-9.700000,0.999939,9.085,TYPE_B,37.400,0,0,352818123
1625.087,false,qupa_7E,-10.700000,0.999977,8.296,TYPE_B,4.000,0,0,352818123
1647.087,false,qupa_7E,-12.000000,0.999994,8.000,TYPE_B,13.000,0,0,352818123
1700.087,false,qupa_7E,-11.000000,0.999983,8.175,TYPE_B,44.000,0,0,352818123
1739.487,false,qupa_7E,-11.000000,0.999983,8.175,TYPE_B,29.400,0,0,352818123
