tick,greedy,robot,m,p_x,planned_wticks,task,search_ticks,x,y,seed
19.090,false,qupa_AE,0.000000,0.500000,60.000,TYPE_B,19.090,0,0,352818123
387.090,false,qupa_AE,0.000000,0.500000,60.000,TYPE_B,305.000,0,0,352818123
466.090,false,qupa_AE,-1.900000,0.869892,59.149,TYPE_B,18.000,0,0,352818123
642.290,false,qupa_AE,-0.800000,0.689974,59.714,TYPE_B,115.200,0,0,352818123
854.090,false,qupa_AE,0.000000,0.500000,60.000,TYPE_B,149.000,0,0,352818123
967.090,false,qupa_AE,-0.900000,0.710950,59.684,TYPE_B,51.000,0,0,352818123
1035.690,false,qupa_AE,-2.800000,0.942676,57.957,TYPE_B,5.600,0,0,352818123
1132.090,false,qupa_AE,-2.800000,0.942676,57.957,TYPE_B,35.200,0,0,352818123
1216.090,false,qupa_AE,-4.700000,0.990987,48.826,TYPE_B,24.000,0,0,352818123
1302.090,false,qupa_AE,-5.600000,0.996316,39.062,TYPE_B,35.000,0,0,352818123
1419.090,false,qupa_AE,-5.500000,0.995930,40.302,TYPE_B,76.000,0,0,352818123
1476.090,false,qupa_AE,-7.400000,0.999389,18.147,TYPE_B,14.000,0,0,352818123
1567.090,false,qupa_AE,-6.400000,0.998341,28.764,TYPE_B,71.000,0,0,352818123
