tick,greedy,robot,m,p_x,planned_wticks,task,search_ticks,x,y,seed
37.287,false,qupa_C0,0.000000,0.500000,60.000,TYPE_B,37.287,0,0,352818123
142.287,false,qupa_C0,-1.800000,0.858149,59.229,TYPE_B,44.000,0,0,352818123
210.287,false,qupa_C0,-3.700000,0.975873,55.246,TYPE_B,8.400,0,0,352818123
425.287,false,qupa_C0,-1.500000,0.182426,60.000,TYPE_A,159.400,0,0,352818123
523.287,false,qupa_C0,0.000000,0.500000,60.000,TYPE_B,37.000,0,0,352818123
636.887,false,qupa_C0,-0.900000,0.289050,60.000,TYPE_A,52.600,0,0,352818123
833.287,false,qupa_C0,0.000000,0.500000,60.000,TYPE_B,135.000,0,0,352818123
959.687,false,qupa_C0,-0.800000,0.689974,59.714,TYPE_B,66.200,0,0,352818123
1064.287,false,qupa_C0,-0.800000,0.689974,59.714,TYPE_B,44.600,0,0,352818123
1135.087,false,qupa_C0,-3.600000,0.973403,55.661,TYPE_B,8.000,0,0,352818123
1198.287,false,qupa_C0,-6.400000,0.998341,28.764,TYPE_B,6.000,0,0,352818123
1270.287,false,qupa_C0,-7.300000,0.999325,19.000,TYPE_B,43.000,0,0,352818123
1300.087,false,qupa_C0,-10.100000,0.999959,8.677,TYPE_B,8.800,0,0,352818123
1424.287,false,qupa_C0,-9.000000,0.999877,10.300,TYPE_B,115.200,0,0,352818123
1553.487,false,qupa_C0,-8.800000,0.999849,10.817,TYPE_B,118.600,0,0,352818123
1651.287,false,qupa_C0,-8.700000,0.999833,11.112,TYPE_B,85.000,0,0,352818123
1725.287,false,qupa_C0,-8.600000,0.999816,11.433,TYPE_B,62.600,0,0,352818123
