tick,greedy,robot,m,p_x,planned_wticks,task,search_ticks,x,y,seed
9.123,true,qupa_27,0.000000,0.500000,60.000,TYPE_A,9.123,0,0,112184514
81.123,true,qupa_27,1.000000,0.731059,59.651,TYPE_A,10.000,0,0,112184514
150.123,true,qupa_27,2.000000,0.880797,59.062,TYPE_A,8.000,0,0,112184514
239.123,true,qupa_27,3.000000,0.952574,57.526,TYPE_A,29.600,0,0,112184514
301.123,true,qupa_27,4.000000,0.982014,53.781,TYPE_A,3.000,0,0,112184514
372.123,true,qupa_27,5.000000,0.993307,45.968,TYPE_A,15.000,0,0,112184514
442.123,true,qupa_27,6.000000,0.002473,60.000,TYPE_B,22.000,0,0,112184514
524.923,true,qupa_27,5.000000,0.993307,45.968,TYPE_A,20.800,0,0,112184514
574.323,true,qupa_27,6.000000,0.997527,33.913,TYPE_A,3.200,0,0,112184514
615.123,true,qupa_27,7.000000,0.999089,21.858,TYPE_A,5.000,0,0,112184514
656.123,true,qupa_27,8.000000,0.999665,14.045,TYPE_A,18.800,0,0,112184514
676.123,true,qupa_27,9.000000,0.999877,10.300,TYPE_A,4.000,0,0,112184514
699.123,true,qupa_27,10.000000,0.999955,8.764,TYPE_A,12.000,0,0,112184514
713.123,true,qupa_27,11.000000,0.999983,8.175,TYPE_A,3.000,0,0,112184514
