tick,greedy,robot,m,p_x,planned_wticks,task,search_ticks,x,y,seed
3.225,true,qupa_F4,0.000000,0.500000,60.000,TYPE_B,3.225,0,0,1821668698
93.025,true,qupa_F4,-1.000000,0.731059,59.651,TYPE_B,29.600,0,0,1821668698
197.025,true,qupa_F4,-1.000000,0.731059,59.651,TYPE_B,44.000,0,0,1821668698
699.425,true,qupa_F4,0.000000,0.500000,60.000,TYPE_A,442.400,0,0,1821668698
766.025,true,qupa_F4,1.000000,0.731059,59.651,TYPE_A,6.400,0,0,1821668698
839.025,true,qupa_F4,2.000000,0.880797,59.062,TYPE_A,13.000,0,0,1821668698
926.025,true,qupa_F4,3.000000,0.952574,57.526,TYPE_A,27.600,0,0,1821668698
987.025,true,qupa_F4,4.000000,0.982014,53.781,TYPE_A,3.200,0,0,1821668698
1103.025,true,qupa_F4,3.000000,0.047426,60.000,TYPE_B,62.000,0,0,1821668698
1201.025,true,qupa_F4,1.000000,0.268941,60.000,TYPE_B,34.600,0,0,1821668698
1276.025,true,qupa_F4,0.000000,0.500000,59.651,TYPE_B,14.600,0,0,1821668698
1340.025,true,qupa_F4,-1.000000,0.731059,59.062,TYPE_B,4.000,0,0,1821668698
1420.025,true,qupa_F4,-2.000000,0.880797,57.526,TYPE_B,20.600,0,0,1821668698
1504.025,true,qupa_F4,-3.000000,0.047426,60.000,TYPE_A,26.200,0,0,1821668698
1573.025,true,qupa_F4,-2.000000,0.119203,59.651,TYPE_A,8.600,0,0,1821668698
1649.025,true,qupa_F4,-1.000000,0.268941,59.062,TYPE_A,16.000,0,0,1821668698
1723.025,true,qupa_F4,0.000000,0.500000,59.651,TYPE_B,14.600,0,0,1821668698
