tick,greedy,robot,m,p_x,planned_wticks,task,search_ticks,x,y,seed
9.053,true,qupa_7E,0.000000,0.500000,60.000,TYPE_A,9.053,0,0,1889233120
83.053,true,qupa_7E,1.000000,0.268941,60.000,TYPE_B,12.000,0,0,1889233120
148.053,true,qupa_7E,0.000000,0.500000,59.651,TYPE_B,4.600,0,0,1889233120
239.053,true,qupa_7E,0.000000,0.500000,59.651,TYPE_B,31.000,0,0,1889233120
309.053,true,qupa_7E,-1.000000,0.731059,59.062,TYPE_B,9.000,0,0,1889233120
374.453,true,qupa_7E,-2.000000,0.880797,57.526,TYPE_B,3.400,0,0,1889233120
444.053,true,qupa_7E,-3.000000,0.952574,53.781,TYPE_B,11.000,0,0,1889233120
511.053,true,qupa_7E,-4.000000,0.982014,45.968,TYPE_B,13.000,0,0,1889233120
600.053,true,qupa_7E,-4.000000,0.017986,60.000,TYPE_A,42.000,0,0,1889233120
718.053,true,qupa_7E,-2.000000,0.119203,60.000,TYPE_A,57.800,0,0,1889233120
783.053,true,qupa_7E,-1.000000,0.268941,59.651,TYPE_A,4.000,0,0,1889233120
862.053,true,qupa_7E,0.000000,0.500000,59.651,TYPE_B,18.000,0,0,1889233120
943.053,true,qupa_7E,-1.000000,0.268941,59.651,TYPE_A,20.000,0,0,1889233120
1034.053,true,qupa_7E,0.000000,0.500000,60.000,TYPE_B,31.000,0,0,1889233120
1160.053,true,qupa_7E,0.000000,0.500000,60.000,TYPE_B,64.000,0,0,1889233120
1244.053,true,qupa_7E,-1.000000,0.268941,60.000,TYPE_A,23.000,0,0,1889233120
1319.053,true,qupa_7E,0.000000,0.500000,60.000,TYPE_B,14.000,0,0,1889233120
1491.053,true,qupa_7E,0.000000,0.500000,60.000,TYPE_A,109.000,0,0,1889233120
1556.053,true,qupa_7E,1.000000,0.731059,59.651,TYPE_A,4.800,0,0,1889233120
1629.053,true,qupa_7E,2.000000,0.119203,60.000,TYPE_B,12.000,0,0,1889233120
1715.053,true,qupa_7E,1.000000,0.731059,59.651,TYPE_A,24.000,0,0,1889233120
1780.053,true,qupa_7E,2.000000,0.880797,59.062,TYPE_A,5.000,0,0,1889233120
