tick,greedy,robot,m,p_x,planned_wticks,task,search_ticks,x,y,seed
21.438,true,qupa_AE,0.000000,0.500000,60.000,TYPE_B,21.438,0,0,389356151
107.438,true,qupa_AE,-1.000000,0.731059,59.651,TYPE_B,22.600,0,0,389356151
211.638,true,qupa_AE,-1.000000,0.731059,59.651,TYPE_B,43.200,0,0,389356151
365.438,true,qupa_AE,0.000000,0.500000,60.000,TYPE_B,93.000,0,0,389356151
474.438,true,qupa_AE,0.000000,0.500000,60.000,TYPE_B,48.800,0,0,389356151
652.438,true,qupa_AE,0.000000,0.500000,60.000,TYPE_A,117.000,0,0,389356151
726.438,true,qupa_AE,1.000000,0.731059,59.651,TYPE_A,13.000,0,0,389356151
818.438,true,qupa_AE,1.000000,0.731059,59.651,TYPE_A,29.800,0,0,389356151
997.438,true,qupa_AE,0.000000,0.500000,60.000,TYPE_A,118.000,0,0,389356151
1073.438,true,qupa_AE,1.000000,0.731059,59.651,TYPE_A,13.800,0,0,389356151
1163.438,true,qupa_AE,2.000000,0.880797,59.062,TYPE_A,29.000,0,0,389356151
1236.438,true,qupa_AE,3.000000,0.047426,60.000,TYPE_B,12.000,0,0,389356151
1323.438,true,qupa_AE,2.000000,0.119203,59.651,TYPE_B,26.000,0,0,389356151
1419.438,true,qupa_AE,0.000000,0.500000,59.651,TYPE_B,34.000,0,0,389356151
1519.438,true,qupa_AE,0.000000,0.500000,59.651,TYPE_B,39.000,0,0,389356151
1586.438,true,qupa_AE,-1.000000,0.731059,59.062,TYPE_B,6.000,0,0,389356151
1759.438,true,qupa_AE,-1.000000,0.731059,59.062,TYPE_B,112.000,0,0,389356151
