tick,greedy,robot,m,p_x,planned_wticks,task,search_ticks,x,y,seed
2.236,true,qupa_C0,0.000000,0.500000,60.000,TYPE_A,2.236,0,0,389356151
290.236,true,qupa_C0,0.000000,0.500000,60.000,TYPE_B,226.000,0,0,389356151
366.236,true,qupa_C0,-1.000000,0.731059,59.651,TYPE_B,15.000,0,0,389356151
435.236,true,qupa_C0,-2.000000,0.119203,60.000,TYPE_A,9.000,0,0,389356151
504.236,true,qupa_C0,-1.000000,0.268941,59.651,TYPE_A,6.800,0,0,389356151
572.236,true,qupa_C0,0.000000,0.500000,60.000,TYPE_B,7.000,0,0,389356151
635.436,true,qupa_C0,-1.000000,0.731059,59.651,TYPE_B,3.000,0,0,389356151
716.236,true,qupa_C0,-2.000000,0.119203,60.000,TYPE_A,20.000,0,0,389356151
785.236,true,qupa_C0,-1.000000,0.268941,59.651,TYPE_A,8.000,0,0,389356151
871.236,true,qupa_C0,0.000000,0.500000,60.000,TYPE_B,25.000,0,0,389356151
1022.236,true,qupa_C0,0.000000,0.500000,60.000,TYPE_B,90.000,0,0,389356151
1092.236,true,qupa_C0,-1.000000,0.268941,60.000,TYPE_A,8.000,0,0,389356151
1218.236,true,qupa_C0,0.000000,0.500000,60.000,TYPE_B,65.000,0,0,389356151
1292.236,true,qupa_C0,-1.000000,0.731059,59.651,TYPE_B,12.000,0,0,389356151
1360.236,true,qupa_C0,-2.000000,0.119203,60.000,TYPE_A,7.000,0,0,389356151
1431.236,true,qupa_C0,-1.000000,0.268941,59.651,TYPE_A,10.600,0,0,389356151
1502.236,true,qupa_C0,0.000000,0.500000,59.062,TYPE_A,11.000,0,0,389356151
1567.236,true,qupa_C0,1.000000,0.268941,60.000,TYPE_B,4.000,0,0,389356151
1631.436,true,qupa_C0,0.000000,0.500000,59.651,TYPE_B,3.200,0,0,389356151
1720.036,true,qupa_C0,-1.000000,0.268941,59.651,TYPE_A,28.600,0,0,389356151
