tick,greedy,robot,m,p_x,planned_wticks,task,search_ticks,x,y,seed
9.045,true,qupa_D2,0.000000,0.500000,60.000,TYPE_B,9.045,0,0,389356151
180.845,true,qupa_D2,0.000000,0.500000,60.000,TYPE_A,111.400,0,0,389356151
251.845,true,qupa_D2,1.000000,0.731059,59.651,TYPE_A,10.800,0,0,389356151
361.845,true,qupa_D2,1.000000,0.731059,59.651,TYPE_A,47.600,0,0,389356151
435.845,true,qupa_D2,2.000000,0.119203,60.000,TYPE_B,13.000,0,0,389356151
540.845,true,qupa_D2,0.000000,0.500000,60.000,TYPE_A,43.000,0,0,389356151
632.845,true,qupa_D2,0.000000,0.500000,60.000,TYPE_A,31.600,0,0,389356151
702.845,true,qupa_D2,1.000000,0.731059,59.651,TYPE_A,8.000,0,0,389356151
787.845,true,qupa_D2,2.000000,0.880797,59.062,TYPE_A,23.600,0,0,389356151
853.845,true,qupa_D2,3.000000,0.952574,57.526,TYPE_A,5.000,0,0,389356151
940.845,true,qupa_D2,4.000000,0.982014,53.781,TYPE_A,28.000,0,0,389356151
1000.845,true,qupa_D2,5.000000,0.993307,45.968,TYPE_A,5.000,0,0,389356151
1069.845,true,qupa_D2,6.000000,0.997527,33.913,TYPE_A,22.000,0,0,389356151
1134.845,true,qupa_D2,6.000000,0.997527,33.913,TYPE_A,28.000,0,0,389356151
1182.845,true,qupa_D2,7.000000,0.999089,21.858,TYPE_A,13.800,0,0,389356151
1215.845,true,qupa_D2,8.000000,0.999665,14.045,TYPE_A,9.000,0,0,389356151
1235.845,true,qupa_D2,9.000000,0.999877,10.300,TYPE_A,5.600,0,0,389356151
1259.845,true,qupa_D2,10.000000,0.999955,8.764,TYPE_A,13.400,0,0,389356151
1439.845,true,qupa_D2,10.000000,0.000045,60.000,TYPE_B,171.000,0,0,389356151
1505.845,true,qupa_D2,9.000000,0.000123,59.651,TYPE_B,5.800,0,0,389356151
1601.845,true,qupa_D2,7.000000,0.999089,21.858,TYPE_A,36.000,0,0,389356151
1677.845,true,qupa_D2,7.000000,0.999089,21.858,TYPE_A,52.000,0,0,389356151
1711.845,true,qupa_D2,8.000000,0.999665,14.045,TYPE_A,11.800,0,0,389356151
1734.845,true,qupa_D2,9.000000,0.000123,60.000,TYPE_B,8.600,0,0,389356151
