tick,greedy,robot,m,p_x,planned_wticks,task,search_ticks,x,y,seed
104.951,false,qupa_48,0.000000,0.500000,60.000,TYPE_A,104.951,0,0,1195324618
210.951,false,qupa_48,0.000000,0.500000,60.000,TYPE_A,44.000,0,0,1195324618
548.951,false,qupa_48,0.000000,0.500000,60.000,TYPE_A,277.000,0,0,1195324618
624.951,false,qupa_48,1.000000,0.731059,59.651,TYPE_A,15.000,0,0,1195324618
693.951,false,qupa_48,2.000000,0.880797,59.062,TYPE_A,6.000,0,0,1195324618
800.951,false,qupa_48,2.000000,0.880797,59.062,TYPE_A,47.600,0,0,1195324618
911.951,false,qupa_48,2.000000,0.880797,59.062,TYPE_A,51.000,0,0,1195324618
1242.951,false,qupa_48,0.000000,0.500000,60.000,TYPE_B,271.000,0,0,1195324618
1330.952,false,qupa_48,-1.000000,0.731059,59.651,TYPE_B,26.000,0,0,1195324618
1447.951,false,qupa_48,-1.000000,0.268941,60.000,TYPE_A,56.000,0,0,1195324618
1522.951,false,qupa_48,0.000000,0.500000,59.651,TYPE_A,13.000,0,0,1195324618
1590.951,false,qupa_48,1.000000,0.731059,59.062,TYPE_A,7.000,0,0,1195324618
1714.951,false,qupa_48,0.000000,0.500000,59.651,TYPE_A,64.600,0,0,1195324618
1789.151,false,qupa_48,1.000000,0.731059,59.062,TYPE_A,13.200,0,0,1195324618
