tick,greedy,robot,m,p_x,planned_wticks,task,search_ticks,x,y,seed
156.757,false,qupa_D2,0.000000,0.500000,60.000,TYPE_B,156.757,0,0,1195324618
625.757,false,qupa_D2,0.000000,0.500000,60.000,TYPE_B,408.000,0,0,1195324618
692.757,false,qupa_D2,-1.000000,0.731059,59.651,TYPE_B,6.000,0,0,1195324618
1008.757,false,qupa_D2,-1.000000,0.731059,59.651,TYPE_B,256.000,0,0,1195324618
1091.757,false,qupa_D2,-2.000000,0.880797,59.062,TYPE_B,23.000,0,0,1195324618
1367.757,false,qupa_D2,0.000000,0.500000,60.000,TYPE_A,216.600,0,0,1195324618
1433.757,false,qupa_D2,1.000000,0.731059,59.651,TYPE_A,4.000,0,0,1195324618
1507.757,false,qupa_D2,2.000000,0.880797,59.062,TYPE_A,13.000,0,0,1195324618
1633.757,false,qupa_D2,1.000000,0.268941,60.000,TYPE_B,65.000,0,0,1195324618
1774.757,false,qupa_D2,0.000000,0.500000,60.000,TYPE_B,80.000,0,0,1195324618
