tick,greedy,robot,m,p_x,planned_wticks,task,search_ticks,x,y,seed
37.948,false,qupa_F4,0.000000,0.500000,60.000,TYPE_A,37.948,0,0,1195324618
158.948,false,qupa_F4,0.000000,0.500000,60.000,TYPE_B,60.800,0,0,1195324618
350.548,false,qupa_F4,0.000000,0.500000,60.000,TYPE_B,131.400,0,0,1195324618
421.948,false,qupa_F4,-1.000000,0.731059,59.651,TYPE_B,11.200,0,0,1195324618
518.748,false,qupa_F4,-1.000000,0.731059,59.651,TYPE_B,35.800,0,0,1195324618
587.148,false,qupa_F4,-2.000000,0.880797,59.062,TYPE_B,7.200,0,0,1195324618
665.948,false,qupa_F4,-3.000000,0.952574,57.526,TYPE_B,19.400,0,0,1195324618
754.348,false,qupa_F4,-4.000000,0.982014,53.781,TYPE_B,30.600,0,0,1195324618
812.948,false,qupa_F4,-5.000000,0.993307,45.968,TYPE_B,4.600,0,0,1195324618
938.948,false,qupa_F4,-5.000000,0.993307,45.968,TYPE_B,79.800,0,0,1195324618
997.948,false,qupa_F4,-6.000000,0.997527,33.913,TYPE_B,12.800,0,0,1195324618
1050.948,false,qupa_F4,-7.000000,0.999089,21.858,TYPE_B,18.000,0,0,1195324618
1076.948,false,qupa_F4,-8.000000,0.999665,14.045,TYPE_B,3.800,0,0,1195324618
1102.948,false,qupa_F4,-9.000000,0.999877,10.300,TYPE_B,11.000,0,0,1195324618
1594.948,false,qupa_F4,0.000000,0.500000,60.000,TYPE_A,478.400,0,0,1195324618
1663.948,false,qupa_F4,1.000000,0.731059,59.651,TYPE_A,7.000,0,0,1195324618
1745.948,false,qupa_F4,2.000000,0.880797,59.062,TYPE_A,21.000,0,0,1195324618
