tick,greedy,robot,m,p_x,planned_wticks,task,search_ticks,x,y,seed
24.526,false,qupa_7E,0.000000,0.500000,60.000,TYPE_B,24.526,0,0,289852478
97.926,false,qupa_7E,-1.000000,0.268941,60.000,TYPE_A,11.400,0,0,289852478
185.526,false,qupa_7E,0.000000,0.500000,60.000,TYPE_B,27.400,0,0,289852478
361.126,false,qupa_7E,0.000000,0.500000,60.000,TYPE_B,113.600,0,0,289852478
436.526,false,qupa_7E,-1.000000,0.731059,59.651,TYPE_B,15.200,0,0,289852478
777.526,false,qupa_7E,0.000000,0.500000,60.000,TYPE_A,280.000,0,0,289852478
924.526,false,qupa_7E,0.000000,0.500000,60.000,TYPE_A,86.000,0,0,289852478
993.526,false,qupa_7E,1.000000,0.731059,59.651,TYPE_A,8.800,0,0,289852478
1063.726,false,qupa_7E,2.000000,0.880797,59.062,TYPE_A,8.200,0,0,289852478
1131.526,false,qupa_7E,3.000000,0.952574,57.526,TYPE_A,8.400,0,0,289852478
1544.526,false,qupa_7E,0.000000,0.500000,60.000,TYPE_A,355.200,0,0,289852478
1616.526,false,qupa_7E,1.000000,0.731059,59.651,TYPE_A,11.000,0,0,289852478
1685.526,false,qupa_7E,2.000000,0.880797,59.062,TYPE_A,8.000,0,0,289852478
1768.526,false,qupa_7E,3.000000,0.047426,60.000,TYPE_B,23.600,0,0,289852478
