tick,greedy,robot,m,p_x,planned_wticks,task,search_ticks,x,y,seed
149.530,false,qupa_AE,0.000000,0.500000,60.000,TYPE_A,149.530,0,0,289852478
239.530,false,qupa_AE,1.000000,0.268941,60.000,TYPE_B,28.000,0,0,289852478
331.530,false,qupa_AE,0.000000,0.500000,60.000,TYPE_B,30.000,0,0,289852478
407.530,false,qupa_AE,-1.000000,0.731059,59.651,TYPE_B,15.600,0,0,289852478
500.530,false,qupa_AE,-1.000000,0.731059,59.651,TYPE_B,32.000,0,0,289852478
570.530,false,qupa_AE,-2.000000,0.880797,59.062,TYPE_B,8.000,0,0,289852478
650.530,false,qupa_AE,-3.000000,0.952574,57.526,TYPE_B,19.000,0,0,289852478
758.530,false,qupa_AE,-3.000000,0.952574,57.526,TYPE_B,49.000,0,0,289852478
931.530,false,qupa_AE,-1.000000,0.731059,59.651,TYPE_B,114.000,0,0,289852478
995.530,false,qupa_AE,-2.000000,0.880797,59.062,TYPE_B,4.000,0,0,289852478
1075.530,false,qupa_AE,-3.000000,0.952574,57.526,TYPE_B,20.000,0,0,289852478
1248.530,false,qupa_AE,-1.000000,0.731059,59.651,TYPE_B,114.000,0,0,289852478
1337.530,false,qupa_AE,-2.000000,0.880797,59.062,TYPE_B,28.000,0,0,289852478
1467.530,false,qupa_AE,-1.000000,0.268941,60.000,TYPE_A,70.000,0,0,289852478
1544.530,false,qupa_AE,0.000000,0.500000,59.651,TYPE_A,16.600,0,0,289852478
1630.530,false,qupa_AE,1.000000,0.268941,60.000,TYPE_B,25.000,0,0,289852478
1699.530,false,qupa_AE,0.000000,0.500000,59.651,TYPE_B,8.000,0,0,289852478
1764.530,false,qupa_AE,-1.000000,0.731059,59.062,TYPE_B,4.000,0,0,289852478
