tick,greedy,robot,m,p_x,planned_wticks,task,search_ticks,x,y,seed
204.926,false,qupa_C0,0.000000,0.500000,60.000,TYPE_A,204.926,0,0,289852478
294.926,false,qupa_C0,1.000000,0.268941,60.000,TYPE_B,27.800,0,0,289852478
400.126,false,qupa_C0,0.000000,0.500000,60.000,TYPE_B,44.000,0,0,289852478
486.126,false,qupa_C0,-1.000000,0.268941,60.000,TYPE_A,24.000,0,0,289852478
555.126,false,qupa_C0,0.000000,0.500000,59.651,TYPE_A,8.800,0,0,289852478
714.126,false,qupa_C0,0.000000,0.500000,60.000,TYPE_A,99.000,0,0,289852478
817.126,false,qupa_C0,0.000000,0.500000,60.000,TYPE_A,42.800,0,0,289852478
939.126,false,qupa_C0,0.000000,0.500000,60.000,TYPE_B,59.400,0,0,289852478
1011.126,false,qupa_C0,-1.000000,0.731059,59.651,TYPE_B,11.600,0,0,289852478
1141.126,false,qupa_C0,0.000000,0.500000,60.000,TYPE_A,70.000,0,0,289852478
1228.126,false,qupa_C0,1.000000,0.731059,59.651,TYPE_A,26.600,0,0,289852478
1306.126,false,qupa_C0,2.000000,0.119203,60.000,TYPE_B,17.000,0,0,289852478
1376.126,false,qupa_C0,1.000000,0.268941,59.651,TYPE_B,9.000,0,0,289852478
1512.926,false,qupa_C0,0.000000,0.500000,60.000,TYPE_A,76.800,0,0,289852478
1754.326,false,qupa_C0,0.000000,0.500000,60.000,TYPE_A,181.200,0,0,289852478
