tick,greedy,robot,m,p_x,planned_wticks,task,search_ticks,x,y,seed
38.212,True,qupa_48,0.0,0.5,60.0,TYPE_B,38.212,0,0,2073633357
104.012,True,qupa_48,-1.9,0.869892,59.149,TYPE_B,4.0,0,0,2073633357
172.012,True,qupa_48,-2.9,0.052154,60.0,TYPE_A,7.0,0,0,2073633357
236.012,True,qupa_48,0.8,0.689974,55.246,TYPE_A,3.0,0,0,2073633357
351.213,True,qupa_48,1.7,0.154465,59.684,TYPE_B,58.2,0,0,2073633357
444.213,True,qupa_48,0.0,0.5,59.229,TYPE_B,31.6,0,0,2073633357
512.012,True,qupa_48,-1.9,0.869892,55.246,TYPE_B,8.2,0,0,2073633357
572.012,True,qupa_48,-3.8,0.978119,39.062,TYPE_B,3.0,0,0,2073633357
617.012,True,qupa_48,-5.7,0.996665,17.344,TYPE_B,5.0,0,0,2073633357
651.012,True,qupa_48,-8.5,0.000203,60.0,TYPE_A,15.0,0,0,2073633357
720.012,True,qupa_48,-6.6,0.001359,59.149,TYPE_A,6.8,0,0,2073633357
814.012,True,qupa_48,-2.8,0.057324,55.246,TYPE_A,33.0,0,0,2073633357
876.012,True,qupa_48,-0.9,0.71095,19.0,TYPE_B,5.0,0,0,2073633357
899.213,True,qupa_48,-3.7,0.975873,8.677,TYPE_B,4.0,0,0,2073633357
919.212,True,qupa_48,-4.7,0.990987,8.142,TYPE_B,11.0,0,0,2073633357
953.012,True,qupa_48,-6.6,0.998641,8.0,TYPE_B,25.4,0,0,2073633357
972.012,True,qupa_48,-8.5,0.999797,8.0,TYPE_B,10.8,0,0,2073633357
1113.012,True,qupa_48,-10.3,0.999966,8.175,TYPE_B,132.0,0,0,2073633357
1127.012,True,qupa_48,-12.0,0.999994,8.0,TYPE_B,5.0,0,0,2073633357
1145.213,True,qupa_48,-12.0,0.999994,8.0,TYPE_B,8.2,0,0,2073633357
1164.813,True,qupa_48,-12.0,0.999994,8.0,TYPE_B,9.8,0,0,2073633357
1218.012,True,qupa_48,-11.0,1.7e-05,60.0,TYPE_A,43.8,0,0,2073633357
1287.012,True,qupa_48,-9.1,0.999888,8.764,TYPE_B,8.8,0,0,2073633357
1299.212,True,qupa_48,-11.9,0.999993,8.0,TYPE_B,3.2,0,0,2073633357
1371.012,True,qupa_48,-10.0,4.5e-05,60.0,TYPE_A,63.6,0,0,2073633357
1466.012,True,qupa_48,-6.2,0.997975,10.3,TYPE_B,34.8,0,0,2073633357
1509.012,True,qupa_48,-7.1,0.000824,60.0,TYPE_A,31.0,0,0,2073633357
1592.012,True,qupa_48,-5.2,0.005486,59.149,TYPE_A,22.0,0,0,2073633357
1657.412,True,qupa_48,-3.3,0.035571,54.796,TYPE_A,3.2,0,0,2073633357
1718.412,True,qupa_48,-1.4,0.197816,37.797,TYPE_A,3.2,0,0,2073633357
1762.613,True,qupa_48,0.5,0.622459,16.59,TYPE_A,3.2,0,0,2073633357
1785.412,True,qupa_48,2.4,0.916827,9.355,TYPE_A,3.0,0,0,2073633357
8.825,True,qupa_7E,0.0,0.5,60.0,TYPE_A,8.825,0,0,2073633357
127.025,True,qupa_7E,0.9,0.71095,59.684,TYPE_A,58.0,0,0,2073633357
197.225,True,qupa_7E,2.8,0.057324,60.0,TYPE_B,9.2,0,0,2073633357
286.025,True,qupa_7E,0.9,0.71095,59.229,TYPE_A,28.0,0,0,2073633357
356.025,True,qupa_7E,2.8,0.057324,59.684,TYPE_B,9.0,0,0,2073633357
441.025,True,qupa_7E,-0.9,0.71095,49.679,TYPE_B,23.0,0,0,2073633357
503.025,True,qupa_7E,-2.8,0.942676,27.524,TYPE_B,11.0,0,0,2073633357
548.025,True,qupa_7E,-4.7,0.009013,59.302,TYPE_A,17.2,0,0,2073633357
613.025,True,qupa_7E,-3.7,0.024127,58.144,TYPE_A,5.4,0,0,2073633357
677.025,True,qupa_7E,-1.8,0.141851,49.679,TYPE_A,5.6,0,0,2073633357
755.025,True,qupa_7E,0.1,0.524979,27.524,TYPE_A,28.0,0,0,2073633357
799.025,True,qupa_7E,2.0,0.119203,51.236,TYPE_B,15.0,0,0,2073633357
862.025,True,qupa_7E,1.0,0.268941,41.513,TYPE_B,11.4,0,0,2073633357
938.025,True,qupa_7E,0.0,0.5,41.513,TYPE_A,33.0,0,0,2073633357
1018.025,True,qupa_7E,0.9,0.28905,51.941,TYPE_B,37.0,0,0,2073633357
1103.025,True,qupa_7E,0.0,0.5,43.825,TYPE_B,32.0,0,0,2073633357
1284.025,True,qupa_7E,-0.8,0.689974,33.913,TYPE_B,135.0,0,0,2073633357
1331.025,True,qupa_7E,-1.8,0.858149,21.858,TYPE_B,12.8,0,0,2073633357
1404.025,True,qupa_7E,-1.8,0.141851,60.0,TYPE_A,49.0,0,0,2073633357
1477.025,True,qupa_7E,-0.8,0.310026,59.651,TYPE_A,12.0,0,0,2073633357
1560.025,True,qupa_7E,0.2,0.549834,59.062,TYPE_A,22.0,0,0,2073633357
1645.025,True,qupa_7E,1.2,0.768525,57.526,TYPE_A,25.6,0,0,2073633357
1725.025,True,qupa_7E,2.2,0.90025,53.781,TYPE_A,22.2,0,0,2073633357
5.214,True,qupa_AE,0.0,0.5,60.0,TYPE_A,5.214,0,0,2073633357
128.214,True,qupa_AE,0.0,0.5,60.0,TYPE_A,61.0,0,0,2073633357
207.214,True,qupa_AE,1.9,0.130108,60.0,TYPE_B,17.0,0,0,2073633357
284.215,True,qupa_AE,0.9,0.28905,59.651,TYPE_B,16.0,0,0,2073633357
351.215,True,qupa_AE,-1.0,0.731059,57.751,TYPE_B,6.0,0,0,2073633357
435.214,True,qupa_AE,-2.9,0.052154,60.0,TYPE_A,25.0,0,0,2073633357
32.015,True,qupa_C0,0.0,0.5,60.0,TYPE_B,32.015,0,0,2073633357
115.215,True,qupa_C0,-2.8,0.057324,60.0,TYPE_A,21.0,0,0,2073633357
750.015,True,qupa_C0,0.0,0.5,59.229,TYPE_A,573.0,0,0,2073633357
881.215,True,qupa_C0,0.9,0.71095,58.144,TYPE_A,68.6,0,0,2073633357
947.215,True,qupa_C0,2.8,0.942676,49.679,TYPE_A,6.0,0,0,2073633357
1006.015,True,qupa_C0,5.6,0.996316,18.147,TYPE_A,7.8,0,0,2073633357
1045.215,True,qupa_C0,6.6,0.998641,12.166,TYPE_A,18.8,0,0,2073633357
1074.215,True,qupa_C0,7.6,0.9995,9.511,TYPE_A,16.6,0,0,2073633357
1121.015,True,qupa_C0,8.5,0.999797,8.525,TYPE_A,36.0,0,0,2073633357
1161.215,True,qupa_C0,9.4,0.999917,8.175,TYPE_A,31.0,0,0,2073633357
1226.215,True,qupa_C0,10.3,3.4e-05,60.0,TYPE_B,56.6,0,0,2073633357
1322.215,True,qupa_C0,6.5,0.001501,59.229,TYPE_B,35.8,0,0,2073633357
1397.014,True,qupa_C0,3.7,0.024127,49.679,TYPE_B,15.2,0,0,2073633357
1462.215,True,qupa_C0,0.9,0.71095,8.764,TYPE_A,15.0,0,0,2073633357
1507.215,True,qupa_C0,2.7,0.062973,28.764,TYPE_B,33.0,0,0,2073633357
1551.215,True,qupa_C0,0.8,0.689974,8.764,TYPE_A,15.0,0,0,2073633357
1574.215,True,qupa_C0,1.8,0.858149,8.175,TYPE_A,13.0,0,0,2073633357
1588.215,True,qupa_C0,3.7,0.024127,30.029,TYPE_B,5.0,0,0,2073633357
1653.015,True,qupa_C0,0.8,0.689974,8.764,TYPE_A,33.0,0,0,2073633357
1684.215,True,qupa_C0,2.7,0.937027,8.0,TYPE_A,21.0,0,0,2073633357
1707.215,True,qupa_C0,4.6,0.990048,8.0,TYPE_A,13.2,0,0,2073633357
1783.215,True,qupa_C0,3.6,0.973403,8.764,TYPE_A,67.0,0,0,2073633357
25.812,True,qupa_D2,0.0,0.5,60.0,TYPE_B,25.812,0,0,2073633357
92.813,True,qupa_D2,-2.8,0.942676,57.957,TYPE_B,5.0,0,0,2073633357
210.812,True,qupa_D2,-4.6,0.990048,49.679,TYPE_B,59.8,0,0,2073633357
276.812,True,qupa_D2,-7.4,0.000611,60.0,TYPE_A,15.0,0,0,2073633357
347.812,True,qupa_D2,-6.4,0.001659,59.651,TYPE_A,10.8,0,0,2073633357
479.813,True,qupa_D2,-3.4,0.032295,60.0,TYPE_A,71.0,0,0,2073633357
553.812,True,qupa_D2,-2.4,0.083173,59.651,TYPE_A,13.6,0,0,2073633357
620.813,True,qupa_D2,-1.4,0.802184,59.481,TYPE_B,6.0,0,0,2073633357
728.012,True,qupa_D2,-1.4,0.802184,59.481,TYPE_B,47.4,0,0,2073633357
948.812,True,qupa_D2,-0.4,0.598688,59.808,TYPE_B,160.0,0,0,2073633357
1041.812,True,qupa_D2,-0.4,0.598688,59.808,TYPE_B,32.0,0,0,2073633357
1108.012,True,qupa_D2,-1.4,0.802184,59.481,TYPE_B,6.0,0,0,2073633357
1207.012,True,qupa_D2,-1.4,0.197816,60.0,TYPE_A,38.2,0,0,2073633357
1276.412,True,qupa_D2,-0.4,0.598688,59.808,TYPE_B,7.6,0,0,2073633357
1366.812,True,qupa_D2,-0.4,0.401312,60.0,TYPE_A,27.2,0,0,2073633357
1434.812,True,qupa_D2,0.6,0.645656,59.651,TYPE_A,7.0,0,0,2073633357
1515.812,True,qupa_D2,1.6,0.167982,60.0,TYPE_B,20.0,0,0,2073633357
1615.812,True,qupa_D2,0.0,0.5,60.0,TYPE_A,39.0,0,0,2073633357
1682.013,True,qupa_D2,1.0,0.731059,59.651,TYPE_A,3.0,0,0,2073633357
1748.012,True,qupa_D2,2.0,0.880797,59.062,TYPE_A,3.0,0,0,2073633357
49.421,True,qupa_F4,0.0,0.5,60.0,TYPE_A,49.421,0,0,2073633357
149.421,True,qupa_F4,0.0,0.5,60.0,TYPE_A,39.6,0,0,2073633357
212.821,True,qupa_F4,1.9,0.869892,59.149,TYPE_A,3.2,0,0,2073633357
275.421,True,qupa_F4,3.8,0.978119,54.796,TYPE_A,3.2,0,0,2073633357
335.621,True,qupa_F4,5.7,0.003335,60.0,TYPE_B,5.2,0,0,2073633357
424.421,True,qupa_F4,4.7,0.990987,48.826,TYPE_A,27.0,0,0,2073633357
477.421,True,qupa_F4,5.7,0.996665,37.797,TYPE_A,3.0,0,0,2073633357
563.421,True,qupa_F4,5.7,0.003335,60.0,TYPE_B,47.0,0,0,2073633357
646.421,True,qupa_F4,3.8,0.978119,48.826,TYPE_A,22.0,0,0,2073633357
706.421,True,qupa_F4,4.8,0.991837,37.797,TYPE_A,10.8,0,0,2073633357
756.421,True,qupa_F4,5.8,0.996982,25.138,TYPE_A,12.0,0,0,2073633357
809.421,True,qupa_F4,6.8,0.998887,15.885,TYPE_A,27.6,0,0,2073633357
855.421,True,qupa_F4,7.8,0.99959,11.112,TYPE_A,28.0,0,0,2073633357
874.021,True,qupa_F4,9.7,0.999939,8.345,TYPE_A,7.2,0,0,2073633357
902.421,True,qupa_F4,10.7,0.999977,8.018,TYPE_A,19.8,0,0,2073633357
961.421,True,qupa_F4,10.7,2.3e-05,60.0,TYPE_B,50.0,0,0,2073633357
1025.421,True,qupa_F4,9.7,6.1e-05,59.651,TYPE_B,3.6,0,0,2073633357
1097.421,True,qupa_F4,7.8,0.99959,10.3,TYPE_A,12.0,0,0,2073633357
1111.421,True,qupa_F4,9.7,0.999939,8.212,TYPE_A,3.4,0,0,2073633357
1123.421,True,qupa_F4,10.7,0.999977,8.0,TYPE_A,3.4,0,0,2073633357
1143.421,True,qupa_F4,12.0,0.999994,8.0,TYPE_A,11.8,0,0,2073633357
1157.421,True,qupa_F4,12.0,0.999994,8.0,TYPE_A,4.0,0,0,2073633357
1171.421,True,qupa_F4,12.0,0.999994,8.0,TYPE_A,5.8,0,0,2073633357
1226.421,True,qupa_F4,11.0,1.7e-05,60.0,TYPE_B,46.8,0,0,2073633357
