tick,greedy,robot,m,p_x,planned_wticks,task,search_ticks,x,y,seed
8.825,true,qupa_7E,0.000000,0.500000,60.000,TYPE_A,8.825,0,0,2073633357
127.025,true,qupa_7E,0.900000,0.710950,59.684,TYPE_A,58.000,0,0,2073633357
197.225,true,qupa_7E,2.800000,0.057324,60.000,TYPE_B,9.200,0,0,2073633357
286.025,true,qupa_7E,0.900000,0.710950,59.229,TYPE_A,28.000,0,0,2073633357
356.025,true,qupa_7E,2.800000,0.057324,59.684,TYPE_B,9.000,0,0,2073633357
441.025,true,qupa_7E,-0.900000,0.710950,49.679,TYPE_B,23.000,0,0,2073633357
503.025,true,qupa_7E,-2.800000,0.942676,27.524,TYPE_B,11.000,0,0,2073633357
548.025,true,qupa_7E,-4.700000,0.009013,59.302,TYPE_A,17.200,0,0,2073633357
613.025,true,qupa_7E,-3.700000,0.024127,58.144,TYPE_A,5.400,0,0,2073633357
677.025,true,qupa_7E,-1.800000,0.141851,49.679,TYPE_A,5.600,0,0,2073633357
755.025,true,qupa_7E,0.100000,0.524979,27.524,TYPE_A,28.000,0,0,2073633357
799.025,true,qupa_7E,2.000000,0.119203,51.236,TYPE_B,15.000,0,0,2073633357
862.025,true,qupa_7E,1.000000,0.268941,41.513,TYPE_B,11.400,0,0,2073633357
938.025,true,qupa_7E,0.000000,0.500000,41.513,TYPE_A,33.000,0,0,2073633357
1018.025,true,qupa_7E,0.900000,0.289050,51.941,TYPE_B,37.000,0,0,2073633357
1103.025,true,qupa_7E,0.000000,0.500000,43.825,TYPE_B,32.000,0,0,2073633357
1284.025,true,qupa_7E,-0.800000,0.689974,33.913,TYPE_B,135.000,0,0,2073633357
1331.025,true,qupa_7E,-1.800000,0.858149,21.858,TYPE_B,12.800,0,0,2073633357
1404.025,true,qupa_7E,-1.800000,0.141851,60.000,TYPE_A,49.000,0,0,2073633357
1477.025,true,qupa_7E,-0.800000,0.310026,59.651,TYPE_A,12.000,0,0,2073633357
1560.025,true,qupa_7E,0.200000,0.549834,59.062,TYPE_A,22.000,0,0,2073633357
1645.025,true,qupa_7E,1.200000,0.768525,57.526,TYPE_A,25.600,0,0,2073633357
1725.025,true,qupa_7E,2.200000,0.900250,53.781,TYPE_A,22.200,0,0,2073633357
