tick,greedy,robot,m,p_x,planned_wticks,task,search_ticks,x,y,seed
208.718,true,qupa_48,0.000000,0.500000,60.000,TYPE_B,208.718,0,0,298882869
333.718,true,qupa_48,0.000000,0.500000,60.000,TYPE_B,64.000,0,0,298882869
403.918,true,qupa_48,-2.800000,0.942676,57.957,TYPE_B,9.200,0,0,298882869
469.918,true,qupa_48,-4.700000,0.990987,48.826,TYPE_B,6.200,0,0,298882869
526.718,true,qupa_48,-6.600000,0.998641,26.314,TYPE_B,7.000,0,0,298882869
571.918,true,qupa_48,-9.400000,0.000083,60.000,TYPE_A,17.200,0,0,298882869
635.318,true,qupa_48,-6.600000,0.001359,57.957,TYPE_A,3.200,0,0,298882869
772.718,true,qupa_48,-1.800000,0.858149,18.147,TYPE_B,77.800,0,0,298882869
795.718,true,qupa_48,-3.700000,0.975873,9.682,TYPE_B,3.000,0,0,298882869
821.918,true,qupa_48,-6.500000,0.001501,58.315,TYPE_A,16.200,0,0,298882869
892.718,true,qupa_48,-3.700000,0.024127,41.513,TYPE_A,12.200,0,0,298882869
940.718,true,qupa_48,0.000000,0.500000,10.075,TYPE_A,5.000,0,0,298882869
956.718,true,qupa_48,3.700000,0.975873,8.000,TYPE_A,4.000,0,0,298882869
969.718,true,qupa_48,5.600000,0.996316,8.000,TYPE_A,3.000,0,0,298882869
992.718,true,qupa_48,6.600000,0.001359,8.764,TYPE_B,14.000,0,0,298882869
1009.918,true,qupa_48,4.700000,0.009013,8.000,TYPE_B,7.200,0,0,298882869
1022.918,true,qupa_48,2.800000,0.057324,8.000,TYPE_B,3.000,0,0,298882869
1036.718,true,qupa_48,0.000000,0.500000,8.000,TYPE_B,5.600,0,0,298882869
1067.918,true,qupa_48,-1.900000,0.869892,8.000,TYPE_B,22.200,0,0,298882869
1190.918,true,qupa_48,-1.700000,0.845535,10.300,TYPE_B,113.200,0,0,298882869
1228.718,true,qupa_48,-2.700000,0.062973,45.968,TYPE_A,25.000,0,0,298882869
1279.718,true,qupa_48,0.100000,0.524979,15.227,TYPE_A,4.000,0,0,298882869
1417.718,true,qupa_48,0.000000,0.500000,15.885,TYPE_A,122.000,0,0,298882869
1525.718,true,qupa_48,0.000000,0.500000,16.590,TYPE_A,91.000,0,0,298882869
1604.318,true,qupa_48,0.000000,0.500000,17.344,TYPE_A,60.600,0,0,298882869
1632.718,true,qupa_48,1.900000,0.869892,9.511,TYPE_A,10.800,0,0,298882869
1722.718,true,qupa_48,1.800000,0.858149,9.682,TYPE_A,79.000,0,0,298882869
1739.718,true,qupa_48,4.600000,0.990048,8.000,TYPE_A,7.000,0,0,298882869
1779.718,true,qupa_48,6.400000,0.998341,8.175,TYPE_A,30.800,0,0,298882869
