tick,greedy,robot,m,p_x,planned_wticks,task,search_ticks,x,y,seed
18.504,true,qupa_AE,0.000000,0.500000,60.000,TYPE_B,18.504,0,0,298882869
91.504,true,qupa_AE,-2.800000,0.942676,57.957,TYPE_B,12.600,0,0,298882869
175.504,true,qupa_AE,-4.700000,0.009013,60.000,TYPE_A,24.000,0,0,298882869
247.904,true,qupa_AE,-2.800000,0.057324,59.149,TYPE_A,10.400,0,0,298882869
318.104,true,qupa_AE,-0.900000,0.289050,54.796,TYPE_A,10.800,0,0,298882869
431.504,true,qupa_AE,0.900000,0.289050,59.302,TYPE_B,58.400,0,0,298882869
495.704,true,qupa_AE,-1.000000,0.731059,55.661,TYPE_B,3.200,0,0,298882869
568.504,true,qupa_AE,-2.900000,0.947846,40.302,TYPE_B,16.000,0,0,298882869
620.504,true,qupa_AE,-3.900000,0.980160,27.524,TYPE_B,10.000,0,0,298882869
663.504,true,qupa_AE,-6.700000,0.998771,9.682,TYPE_B,14.000,0,0,298882869
677.504,true,qupa_AE,-8.600000,0.999816,8.112,TYPE_B,4.000,0,0,298882869
695.504,true,qupa_AE,-10.500000,0.999972,8.000,TYPE_B,8.000,0,0,298882869
820.304,true,qupa_AE,-9.000000,0.000123,60.000,TYPE_A,114.800,0,0,298882869
887.704,true,qupa_AE,-7.100000,0.000824,59.149,TYPE_A,5.200,0,0,298882869
1066.504,true,qupa_AE,-1.300000,0.785835,45.968,TYPE_B,118.000,0,0,298882869
1117.504,true,qupa_AE,-3.200000,0.960834,22.907,TYPE_B,4.000,0,0,298882869
1166.504,true,qupa_AE,-6.000000,0.997527,9.085,TYPE_B,24.000,0,0,298882869
1206.504,true,qupa_AE,-6.900000,0.001007,60.000,TYPE_A,29.000,0,0,298882869
1282.504,true,qupa_AE,-5.900000,0.997268,9.214,TYPE_B,14.000,0,0,298882869
1310.704,true,qupa_AE,-6.900000,0.001007,60.000,TYPE_A,18.600,0,0,298882869
1522.304,true,qupa_AE,0.000000,0.500000,60.000,TYPE_A,151.400,0,0,298882869
1593.904,true,qupa_AE,1.000000,0.731059,59.651,TYPE_A,10.000,0,0,298882869
1668.904,true,qupa_AE,2.000000,0.119203,58.315,TYPE_B,14.000,0,0,298882869
1755.904,true,qupa_AE,1.000000,0.268941,55.661,TYPE_B,27.000,0,0,298882869
