tick,greedy,robot,m,p_x,planned_wticks,task,search_ticks,x,y,seed
17.706,true,qupa_D2,0.000000,0.500000,60.000,TYPE_B,17.706,0,0,298882869
104.706,true,qupa_D2,-3.700000,0.024127,60.000,TYPE_A,25.000,0,0,298882869
174.706,true,qupa_D2,-2.700000,0.062973,59.651,TYPE_A,9.000,0,0,298882869
285.706,true,qupa_D2,-0.700000,0.668188,59.741,TYPE_B,48.200,0,0,298882869
349.706,true,qupa_D2,-1.700000,0.845535,59.302,TYPE_B,4.000,0,0,298882869
413.906,true,qupa_D2,-2.700000,0.937027,58.144,TYPE_B,3.200,0,0,298882869
521.106,true,qupa_D2,-2.700000,0.937027,58.144,TYPE_B,48.800,0,0,298882869
602.706,true,qupa_D2,-3.700000,0.975873,55.246,TYPE_B,23.200,0,0,298882869
672.706,true,qupa_D2,-4.700000,0.990987,48.826,TYPE_B,14.400,0,0,298882869
744.706,true,qupa_D2,-5.700000,0.996665,37.797,TYPE_B,22.000,0,0,298882869
813.706,true,qupa_D2,-5.700000,0.996665,37.797,TYPE_B,30.000,0,0,298882869
862.706,true,qupa_D2,-6.700000,0.998771,25.138,TYPE_B,11.000,0,0,298882869
899.506,true,qupa_D2,-7.700000,0.999547,15.885,TYPE_B,9.800,0,0,298882869
941.706,true,qupa_D2,-8.700000,0.999833,11.112,TYPE_B,24.000,0,0,298882869
980.706,true,qupa_D2,-9.700000,0.999939,9.085,TYPE_B,27.000,0,0,298882869
1004.706,true,qupa_D2,-10.700000,0.999977,8.296,TYPE_B,14.000,0,0,298882869
1019.706,true,qupa_D2,-11.700000,0.999992,8.000,TYPE_B,6.000,0,0,298882869
1058.106,true,qupa_D2,-12.000000,0.999994,8.000,TYPE_B,30.000,0,0,298882869
1126.706,true,qupa_D2,-10.000000,0.999955,8.764,TYPE_B,58.000,0,0,298882869
1152.706,true,qupa_D2,-11.000000,0.999983,8.175,TYPE_B,16.000,0,0,298882869
1166.706,true,qupa_D2,-12.000000,0.999994,8.000,TYPE_B,4.000,0,0,298882869
1312.706,true,qupa_D2,-8.000000,0.999665,14.045,TYPE_B,136.000,0,0,298882869
1333.906,true,qupa_D2,-9.000000,0.999877,10.300,TYPE_B,6.200,0,0,298882869
1369.706,true,qupa_D2,-10.000000,0.000045,60.000,TYPE_A,25.200,0,0,298882869
1446.706,true,qupa_D2,-9.000000,0.000123,59.651,TYPE_A,16.000,0,0,298882869
1525.706,true,qupa_D2,-8.000000,0.000335,59.062,TYPE_A,18.000,0,0,298882869
1652.706,true,qupa_D2,-5.000000,0.006693,59.651,TYPE_A,66.000,0,0,298882869
1719.706,true,qupa_D2,-4.000000,0.017986,59.062,TYPE_A,6.000,0,0,298882869
