tick,greedy,robot,m,p_x,planned_wticks,task,search_ticks,x,y,seed
4.310,true,qupa_F7,0.000000,0.500000,60.000,TYPE_A,4.310,0,0,298882869
95.110,true,qupa_F7,0.000000,0.500000,60.000,TYPE_B,29.000,0,0,298882869
170.110,true,qupa_F7,-2.800000,0.942676,57.957,TYPE_B,14.800,0,0,298882869
247.110,true,qupa_F7,-4.700000,0.990987,48.826,TYPE_B,18.000,0,0,298882869
342.910,true,qupa_F7,-5.600000,0.003684,60.000,TYPE_A,46.600,0,0,298882869
428.110,true,qupa_F7,-2.800000,0.057324,57.957,TYPE_A,25.000,0,0,298882869
494.110,true,qupa_F7,-0.900000,0.289050,48.826,TYPE_A,7.000,0,0,298882869
555.110,true,qupa_F7,1.900000,0.869892,17.344,TYPE_A,11.000,0,0,298882869
604.110,true,qupa_F7,1.900000,0.130108,58.315,TYPE_B,31.400,0,0,298882869
687.110,true,qupa_F7,-0.900000,0.710950,41.513,TYPE_B,24.000,0,0,298882869
752.110,true,qupa_F7,-2.800000,0.942676,19.000,TYPE_B,22.000,0,0,298882869
791.110,true,qupa_F7,-4.700000,0.990987,9.870,TYPE_B,19.000,0,0,298882869
839.110,true,qupa_F7,-5.600000,0.003684,56.042,TYPE_A,37.800,0,0,298882869
926.110,true,qupa_F7,-1.800000,0.141851,42.688,TYPE_A,29.000,0,0,298882869
980.110,true,qupa_F7,1.000000,0.731059,13.518,TYPE_A,9.000,0,0,298882869
1004.710,true,qupa_F7,2.900000,0.947846,8.764,TYPE_A,9.600,0,0,298882869
1047.110,true,qupa_F7,2.900000,0.052154,32.610,TYPE_B,32.000,0,0,298882869
1091.110,true,qupa_F7,0.100000,0.475021,10.547,TYPE_B,10.000,0,0,298882869
1123.110,true,qupa_F7,-2.700000,0.937027,8.000,TYPE_B,20.000,0,0,298882869
1137.110,true,qupa_F7,-3.700000,0.024127,10.300,TYPE_A,5.800,0,0,298882869
1152.310,true,qupa_F7,-1.800000,0.141851,8.212,TYPE_A,3.200,0,0,298882869
1212.110,true,qupa_F7,0.000000,0.500000,10.300,TYPE_B,51.200,0,0,298882869
1226.110,true,qupa_F7,-1.900000,0.869892,8.212,TYPE_B,3.400,0,0,298882869
1240.910,true,qupa_F7,-3.800000,0.978119,8.000,TYPE_B,3.200,0,0,298882869
1334.110,true,qupa_F7,-4.700000,0.990987,8.175,TYPE_B,85.000,0,0,298882869
1372.110,true,qupa_F7,-7.500000,0.000553,22.907,TYPE_A,29.000,0,0,298882869
1430.110,true,qupa_F7,-4.600000,0.009952,15.227,TYPE_A,33.000,0,0,298882869
1509.110,true,qupa_F7,-0.700000,0.668188,21.858,TYPE_B,62.000,0,0,298882869
1553.110,true,qupa_F7,-3.500000,0.970688,8.968,TYPE_B,21.000,0,0,298882869
1584.110,true,qupa_F7,-5.400000,0.995504,8.000,TYPE_B,20.000,0,0,298882869
1608.110,true,qupa_F7,-7.300000,0.000675,37.797,TYPE_A,14.000,0,0,298882869
1670.110,true,qupa_F7,-6.300000,0.001833,25.138,TYPE_A,22.000,0,0,298882869
1733.110,true,qupa_F7,-3.400000,0.967705,10.300,TYPE_B,36.000,0,0,298882869
1761.110,true,qupa_F7,-4.400000,0.012128,26.314,TYPE_A,16.000,0,0,298882869
