tick,greedy,robot,m,p_x,planned_wticks,task,search_ticks,x,y,seed
35.858,true,qupa_C0,0.000000,0.500000,60.000,TYPE_A,35.858,0,0,312603905
109.858,true,qupa_C0,3.700000,0.975873,55.246,TYPE_A,13.800,0,0,312603905
203.858,true,qupa_C0,5.500000,0.995930,40.302,TYPE_A,38.000,0,0,312603905
284.858,true,qupa_C0,5.500000,0.995930,40.302,TYPE_A,39.000,0,0,312603905
352.858,true,qupa_C0,7.400000,0.999389,18.147,TYPE_A,26.000,0,0,312603905
382.658,true,qupa_C0,9.300000,0.999909,9.682,TYPE_A,9.800,0,0,312603905
491.658,true,qupa_C0,9.200000,0.000101,60.000,TYPE_B,99.000,0,0,312603905
557.858,true,qupa_C0,7.300000,0.000675,59.149,TYPE_B,5.200,0,0,312603905
631.658,true,qupa_C0,4.500000,0.010987,48.826,TYPE_B,14.400,0,0,312603905
688.858,true,qupa_C0,2.600000,0.069138,26.314,TYPE_B,8.000,0,0,312603905
723.858,true,qupa_C0,0.700000,0.331812,11.784,TYPE_B,8.400,0,0,312603905
794.658,true,qupa_C0,-0.200000,0.549834,9.511,TYPE_B,58.800,0,0,312603905
837.658,true,qupa_C0,-1.100000,0.750260,8.525,TYPE_B,33.200,0,0,312603905
860.858,true,qupa_C0,-3.000000,0.952574,8.000,TYPE_B,14.400,0,0,312603905
895.858,true,qupa_C0,-5.800000,0.003018,59.574,TYPE_A,26.600,0,0,312603905
971.858,true,qupa_C0,-3.900000,0.019840,57.279,TYPE_A,15.200,0,0,312603905
1034.858,true,qupa_C0,-1.100000,0.249740,35.216,TYPE_A,4.000,0,0,312603905
1078.858,true,qupa_C0,0.800000,0.689974,15.227,TYPE_A,8.400,0,0,312603905
1123.858,true,qupa_C0,2.700000,0.062973,10.300,TYPE_B,29.400,0,0,312603905
1138.858,true,qupa_C0,0.800000,0.310026,8.212,TYPE_B,3.000,0,0,312603905
1153.658,true,qupa_C0,-1.100000,0.750260,8.000,TYPE_B,6.200,0,0,312603905
1167.058,true,qupa_C0,-3.900000,0.019840,15.885,TYPE_A,3.200,0,0,312603905
1246.858,true,qupa_C0,0.000000,0.500000,16.590,TYPE_A,63.600,0,0,312603905
1290.258,true,qupa_C0,1.000000,0.268941,14.045,TYPE_B,25.400,0,0,312603905
1394.858,true,qupa_C0,0.000000,0.500000,14.614,TYPE_B,90.200,0,0,312603905
1426.258,true,qupa_C0,-1.900000,0.869892,8.968,TYPE_B,15.400,0,0,312603905
1442.658,true,qupa_C0,-4.700000,0.990987,8.000,TYPE_B,7.200,0,0,312603905
1488.858,true,qupa_C0,-6.500000,0.001501,55.661,TYPE_A,37.800,0,0,312603905
1642.058,true,qupa_C0,-1.700000,0.845535,10.300,TYPE_B,96.200,0,0,312603905
1655.858,true,qupa_C0,-2.700000,0.937027,8.764,TYPE_B,3.200,0,0,312603905
1673.858,true,qupa_C0,-3.700000,0.024127,58.612,TYPE_A,9.000,0,0,312603905
