tick,greedy,robot,m,p_x,planned_wticks,task,search_ticks,x,y,seed
2.298,false,qupa_27,0.000000,0.500000,60.000,TYPE_B,2.298,0,0,1413570576
87.298,false,qupa_27,-2.800000,0.942676,57.957,TYPE_B,23.000,0,0,1413570576
228.298,false,qupa_27,-3.600000,0.973403,55.661,TYPE_B,82.800,0,0,1413570576
296.298,false,qupa_27,-4.600000,0.990048,49.679,TYPE_B,10.000,0,0,1413570576
496.298,false,qupa_27,-2.500000,0.924142,58.471,TYPE_B,148.000,0,0,1413570576
640.298,false,qupa_27,-3.300000,0.964429,56.714,TYPE_B,83.000,0,0,1413570576
806.298,false,qupa_27,-2.200000,0.900250,58.858,TYPE_B,107.000,0,0,1413570576
870.498,false,qupa_27,-4.100000,0.983698,53.212,TYPE_B,3.200,0,0,1413570576
930.098,false,qupa_27,-6.000000,0.997527,33.913,TYPE_B,4.800,0,0,1413570576
1093.298,false,qupa_27,-3.000000,0.952574,57.526,TYPE_B,126.200,0,0,1413570576
1190.698,false,qupa_27,-3.000000,0.952574,57.526,TYPE_B,36.600,0,0,1413570576
1254.298,false,qupa_27,-4.000000,0.982014,53.781,TYPE_B,5.800,0,0,1413570576
1316.498,false,qupa_27,-5.900000,0.997268,35.216,TYPE_B,7.200,0,0,1413570576
1356.298,false,qupa_27,-7.800000,0.999590,15.227,TYPE_B,3.000,0,0,1413570576
1480.298,false,qupa_27,-5.800000,0.996982,36.513,TYPE_B,107.000,0,0,1413570576
1543.298,false,qupa_27,-7.700000,0.999547,15.885,TYPE_B,25.000,0,0,1413570576
1670.298,false,qupa_27,-6.600000,0.998641,26.314,TYPE_B,108.000,0,0,1413570576
1716.498,false,qupa_27,-7.600000,0.999500,16.590,TYPE_B,19.200,0,0,1413570576
1737.298,false,qupa_27,-9.500000,0.999925,9.355,TYPE_B,3.000,0,0,1413570576
1765.298,false,qupa_27,-10.500000,0.999972,8.399,TYPE_B,16.000,0,0,1413570576
