tick,greedy,robot,m,p_x,planned_wticks,task,search_ticks,x,y,seed
22.293,false,qupa_7E,0.000000,0.500000,60.000,TYPE_B,22.293,0,0,1413570576
95.293,false,qupa_7E,-1.900000,0.869892,59.149,TYPE_B,11.000,0,0,1413570576
220.293,false,qupa_7E,-1.800000,0.858149,59.229,TYPE_B,65.600,0,0,1413570576
310.293,false,qupa_7E,-2.700000,0.937027,58.144,TYPE_B,27.400,0,0,1413570576
439.293,false,qupa_7E,-2.600000,0.930862,58.315,TYPE_B,69.000,0,0,1413570576
706.293,false,qupa_7E,0.000000,0.500000,60.000,TYPE_B,207.000,0,0,1413570576
771.293,false,qupa_7E,-1.900000,0.869892,59.149,TYPE_B,4.000,0,0,1413570576
928.293,false,qupa_7E,-0.800000,0.310026,60.000,TYPE_A,96.000,0,0,1413570576
1014.093,false,qupa_7E,1.100000,0.750260,59.149,TYPE_A,24.800,0,0,1413570576
1094.293,false,qupa_7E,3.000000,0.952574,54.796,TYPE_A,20.800,0,0,1413570576
1163.293,false,qupa_7E,5.800000,0.996982,26.314,TYPE_A,13.000,0,0,1413570576
1232.293,false,qupa_7E,7.600000,0.999500,12.166,TYPE_A,41.000,0,0,1413570576
1247.693,false,qupa_7E,9.500000,0.999925,8.525,TYPE_A,3.000,0,0,1413570576
1271.293,false,qupa_7E,11.400000,0.999989,8.000,TYPE_A,14.800,0,0,1413570576
1337.293,false,qupa_7E,11.000000,0.999983,8.175,TYPE_A,57.800,0,0,1413570576
1352.293,false,qupa_7E,12.000000,0.999994,8.000,TYPE_A,6.000,0,0,1413570576
1393.293,false,qupa_7E,11.000000,0.999983,8.175,TYPE_A,31.000,0,0,1413570576
1424.293,false,qupa_7E,12.000000,0.999994,8.000,TYPE_A,21.000,0,0,1413570576
1454.293,false,qupa_7E,12.000000,0.999994,8.000,TYPE_A,20.618,0,0,1413570576
1483.293,false,qupa_7E,12.000000,0.999994,8.000,TYPE_A,20.000,0,0,1413570576
