tick,greedy,robot,m,p_x,planned_wticks,task,search_ticks,x,y,seed
12.696,false,qupa_AE,0.000000,0.500000,60.000,TYPE_A,12.696,0,0,1413570576
78.696,false,qupa_AE,1.000000,0.731059,59.651,TYPE_A,4.000,0,0,1413570576
148.696,false,qupa_AE,2.900000,0.947846,57.751,TYPE_A,10.000,0,0,1413570576
220.696,false,qupa_AE,4.800000,0.991837,47.923,TYPE_A,13.000,0,0,1413570576
275.696,false,qupa_AE,6.700000,0.998771,25.138,TYPE_A,5.000,0,0,1413570576
326.696,false,qupa_AE,8.600000,0.999816,11.433,TYPE_A,23.600,0,0,1413570576
445.696,false,qupa_AE,6.600000,0.998641,26.314,TYPE_A,107.200,0,0,1413570576
891.696,false,qupa_AE,0.000000,0.500000,60.000,TYPE_A,417.400,0,0,1413570576
1110.696,false,qupa_AE,0.000000,0.500000,60.000,TYPE_A,158.000,0,0,1413570576
1191.697,false,qupa_AE,1.900000,0.869892,59.149,TYPE_A,19.000,0,0,1413570576
1287.896,false,qupa_AE,3.700000,0.975873,55.246,TYPE_A,36.800,0,0,1413570576
1411.696,false,qupa_AE,2.700000,0.062973,60.000,TYPE_B,67.000,0,0,1413570576
1563.696,false,qupa_AE,0.000000,0.500000,60.000,TYPE_A,91.000,0,0,1413570576
