tick,greedy,robot,m,p_x,planned_wticks,task,search_ticks,x,y,seed
67.097,false,qupa_C0,0.000000,0.500000,60.000,TYPE_A,67.097,0,0,1413570576
172.098,false,qupa_C0,0.900000,0.710950,59.684,TYPE_A,44.000,0,0,1413570576
248.098,false,qupa_C0,2.800000,0.942676,57.957,TYPE_A,15.000,0,0,1413570576
389.097,false,qupa_C0,2.700000,0.937027,58.144,TYPE_A,82.000,0,0,1413570576
472.098,false,qupa_C0,5.500000,0.995930,40.302,TYPE_A,24.000,0,0,1413570576
579.098,false,qupa_C0,5.400000,0.995504,41.513,TYPE_A,66.000,0,0,1413570576
673.097,false,qupa_C0,5.400000,0.995504,41.513,TYPE_A,51.000,0,0,1413570576
967.098,false,qupa_C0,0.000000,0.500000,60.000,TYPE_B,250.000,0,0,1413570576
1147.098,false,qupa_C0,0.000000,0.500000,60.000,TYPE_A,119.600,0,0,1413570576
1215.098,false,qupa_C0,2.800000,0.942676,57.957,TYPE_A,7.600,0,0,1413570576
1288.097,false,qupa_C0,5.600000,0.996316,39.062,TYPE_A,13.000,0,0,1413570576
1357.097,false,qupa_C0,6.600000,0.998641,26.314,TYPE_A,28.000,0,0,1413570576
1503.098,false,qupa_C0,5.500000,0.995930,40.302,TYPE_A,119.400,0,0,1413570576
1552.098,false,qupa_C0,7.400000,0.999389,18.147,TYPE_A,7.000,0,0,1413570576
1583.097,false,qupa_C0,10.200000,0.999963,8.597,TYPE_A,11.000,0,0,1413570576
1635.098,false,qupa_C0,10.200000,0.999963,8.597,TYPE_A,42.000,0,0,1413570576
1674.098,false,qupa_C0,11.000000,0.999983,8.175,TYPE_A,29.000,0,0,1413570576
1703.097,false,qupa_C0,12.000000,0.999994,8.000,TYPE_A,19.000,0,0,1413570576
1768.098,false,qupa_C0,11.000000,0.999983,8.175,TYPE_A,56.800,0,0,1413570576
