tick,greedy,robot,m,p_x,planned_wticks,task,search_ticks,x,y,seed
61.511,false,qupa_F7,0.000000,0.500000,60.000,TYPE_A,61.511,0,0,2051558410
135.511,false,qupa_F7,1.900000,0.869892,59.149,TYPE_A,13.000,0,0,2051558410
263.511,false,qupa_F7,1.800000,0.858149,59.229,TYPE_A,68.600,0,0,2051558410
377.511,false,qupa_F7,2.700000,0.937027,58.144,TYPE_A,53.000,0,0,2051558410
460.511,false,qupa_F7,5.500000,0.995930,40.302,TYPE_A,23.000,0,0,2051558410
573.511,false,qupa_F7,4.500000,0.989013,50.482,TYPE_A,72.000,0,0,2051558410
633.511,false,qupa_F7,6.400000,0.998341,28.764,TYPE_A,6.200,0,0,2051558410
672.911,false,qupa_F7,8.300000,0.999752,12.580,TYPE_A,9.400,0,0,2051558410
693.511,false,qupa_F7,9.300000,0.999909,9.682,TYPE_A,7.800,0,0,2051558410
826.911,false,qupa_F7,8.200000,0.999725,13.030,TYPE_A,121.400,0,0,2051558410
879.511,false,qupa_F7,8.200000,0.999725,13.030,TYPE_A,39.200,0,0,2051558410
915.511,false,qupa_F7,9.200000,0.999899,9.870,TYPE_A,21.000,0,0,2051558410
993.511,false,qupa_F7,9.100000,0.999888,10.075,TYPE_A,67.800,0,0,2051558410
1011.511,false,qupa_F7,10.100000,0.999959,8.677,TYPE_A,6.000,0,0,2051558410
1062.511,false,qupa_F7,10.100000,0.999959,8.677,TYPE_A,41.000,0,0,2051558410
1268.511,false,qupa_F7,5.100000,0.993940,44.919,TYPE_A,195.000,0,0,2051558410
1375.511,false,qupa_F7,6.000000,0.997527,33.913,TYPE_A,61.000,0,0,2051558410
1413.711,false,qupa_F7,8.800000,0.999849,10.817,TYPE_A,3.200,0,0,2051558410
1527.511,false,qupa_F7,6.800000,0.998887,24.001,TYPE_A,102.600,0,0,2051558410
1560.511,false,qupa_F7,8.700000,0.999833,11.112,TYPE_A,8.600,0,0,2051558410
1575.511,false,qupa_F7,10.600000,0.999975,8.345,TYPE_A,3.600,0,0,2051558410
