tick,greedy,robot,m,p_x,planned_wticks,task,search_ticks,x,y,seed
17.086,false,qupa_D2,0.000000,0.500000,60.000,TYPE_B,17.086,0,0,352818123
98.086,false,qupa_D2,-2.800000,0.942676,57.957,TYPE_B,19.000,0,0,352818123
311.086,false,qupa_D2,-0.600000,0.354344,60.000,TYPE_A,154.000,0,0,352818123
417.086,false,qupa_D2,0.300000,0.425557,60.000,TYPE_B,44.000,0,0,352818123
591.086,false,qupa_D2,0.000000,0.500000,60.000,TYPE_B,112.000,0,0,352818123
669.086,false,qupa_D2,-2.800000,0.942676,57.957,TYPE_B,17.600,0,0,352818123
733.886,false,qupa_D2,-5.600000,0.996316,39.062,TYPE_B,6.600,0,0,352818123
776.286,false,qupa_D2,-8.400000,0.999775,12.166,TYPE_B,3.000,0,0,352818123
846.086,false,qupa_D2,-9.300000,0.999909,9.682,TYPE_B,57.400,0,0,352818123
870.286,false,qupa_D2,-11.200000,0.999986,8.112,TYPE_B,13.200,0,0,352818123
885.086,false,qupa_D2,-12.000000,0.999994,8.000,TYPE_B,6.000,0,0,352818123
913.086,false,qupa_D2,-12.000000,0.999994,8.000,TYPE_B,19.000,0,0,352818123
1066.086,false,qupa_D2,-8.000000,0.999665,14.045,TYPE_B,144.600,0,0,352818123
1110.086,false,qupa_D2,-9.900000,0.999950,8.861,TYPE_B,29.000,0,0,352818123
1140.886,false,qupa_D2,-12.000000,0.999994,8.000,TYPE_B,20.800,0,0,352818123
1188.086,false,qupa_D2,-11.000000,0.999983,8.175,TYPE_B,39.000,0,0,352818123
1269.086,false,qupa_D2,-10.000000,0.999955,8.764,TYPE_B,72.600,0,0,352818123
1290.086,false,qupa_D2,-12.000000,0.999994,8.000,TYPE_B,10.000,0,0,352818123
1303.286,false,qupa_D2,-12.000000,0.999994,8.000,TYPE_B,3.200,0,0,352818123
1386.286,false,qupa_D2,-10.000000,0.999955,8.764,TYPE_B,74.600,0,0,352818123
1400.086,false,qupa_D2,-12.000000,0.999994,8.000,TYPE_B,3.000,0,0,352818123
1534.086,false,qupa_D2,-8.000000,0.999665,14.045,TYPE_B,125.800,0,0,352818123
1552.286,false,qupa_D2,-9.900000,0.999950,8.861,TYPE_B,3.200,0,0,352818123
1580.086,false,qupa_D2,-10.900000,0.999982,8.212,TYPE_B,17.000,0,0,352818123
1599.086,false,qupa_D2,-12.000000,0.999994,8.000,TYPE_B,10.000,0,0,352818123
1692.086,false,qupa_D2,-10.000000,0.999955,8.764,TYPE_B,82.000,0,0,352818123
1749.086,false,qupa_D2,-10.000000,0.999955,8.764,TYPE_B,47.000,0,0,352818123
1770.086,false,qupa_D2,-11.000000,0.999983,8.175,TYPE_B,12.000,0,0,352818123
1789.086,false,qupa_D2,-12.000000,0.999994,8.000,TYPE_B,9.000,0,0,352818123
