tick,greedy,robot,m,p_x,planned_wticks,task,search_ticks,x,y,seed
56,false,q0,0,0.5,1800,RED,2,-0.468198,-0.451951,6782
96,false,q6,0,0.5,1800,BLUE,28,0.197734,0.488075,6782
118,false,q5,0,0.5,1800,BLUE,47,0.155727,0.126959,6782
161,false,q3,0,0.5,1800,RED,88,-0.444744,-0.131442,6782
874,false,q1,0,0.5,1800,RED,782,0.168146,-0.159113,6782
2005,false,q2,-1,0.268941,1800,RED,111,-0.166834,-0.173064,6782
2027,false,q0,1,0.731059,1790,RED,136,-0.156186,-0.486668,6782
2125,false,q5,-1,0.268941,1800,RED,161,0.389671,-0.124081,6782
2321,false,q7,-1,0.731059,1790,BLUE,57,0.502759,0.465481,6782
2333,false,q4,-1,0.731059,1790,BLUE,196,-0.1382,0.430819,6782
2450,false,q6,-1,0.731059,1790,BLUE,519,-0.466715,0.130972,6782
2767,false,q1,1,0.731059,1790,RED,44,0.178273,-0.459531,6782
3930,false,q3,1,0.268941,1800,BLUE,1819,-0.466133,0.45785,6782
4027,false,q5,0,0.5,1790,RED,78,0.471115,-0.426792,6782
4276,false,q4,-2,0.880797,1772,BLUE,93,0.12674,0.121039,6782
5124,false,q0,2,0.880797,1772,RED,1140,0.167385,-0.141613,6782
6006,false,q3,0,0.5,1790,BLUE,220,0.40591,0.39695,6782
6203,false,q2,1,0.731059,1772,RED,480,0.487019,-0.510746,6782
6224,false,q4,-3,0.0474259,1800,RED,138,-0.464759,-0.162755,6782
6290,false,q5,1,0.731059,1772,RED,419,0.482508,-0.15684,6782
6503,false,q6,-2,0.880797,1772,BLUE,2132,-0.131228,0.45169,6782
7872,false,q3,-1,0.731059,1772,BLUE,51,0.405802,0.179311,6782
7988,false,q2,2,0.880797,1727,RED,1,0.477258,-0.449201,6782
8098,false,q5,2,0.880797,1727,RED,1,0.447649,-0.130963,6782
8344,false,q0,3,0.0474259,1800,BLUE,1340,-0.434553,0.437152,6782
8540,false,q7,-4,0.982014,1615,BLUE,386,0.446042,0.380367,6782
8606,false,q4,-2,0.119203,1790,RED,526,-0.429648,-0.109607,6782
9262,false,q1,3,0.0474259,1800,BLUE,2353,0.510948,0.446321,6782
9740,false,q2,3,0.952574,1615,RED,1,0.425716,-0.422701,6782
9912,false,q6,-3,0.0474259,1800,RED,1431,0.427781,-0.168108,6782
9996,false,q3,-2,0.880797,1727,BLUE,320,0.12782,0.475045,6782
