tick,greedy,robot,m,p_x,planned_wticks,task,search_ticks,x,y,seed
56,false,q0,0,0.5,600,RED,2,-0.468198,-0.451951,6782
96,false,q6,0,0.5,600,BLUE,28,0.197734,0.488075,6782
118,false,q5,0,0.5,600,BLUE,47,0.155727,0.126959,6782
161,false,q3,0,0.5,600,RED,88,-0.444744,-0.131442,6782
764,false,q1,0,0.5,600,RED,696,-0.114058,-0.195056,6782
853,false,q0,1.9,0.869892,592,RED,158,-0.145461,-0.478257,6782
931,false,q2,-3.7,0.975873,553,BLUE,207,-0.119814,0.463547,6782
1118,false,q7,-3.7,0.975873,553,BLUE,56,0.504773,0.476599,6782
1211,false,q6,-3.7,0.975873,553,BLUE,474,-0.476444,0.436247,6782
1218,false,q4,-2.8,0.942676,580,BLUE,277,-0.434801,0.130447,6782
1255,false,q3,1.9,0.869892,592,RED,407,0.422939,-0.155291,6782
1718,false,q0,3.8,0.978119,549,RED,222,0.20827,-0.40927,6782
1862,false,q1,1.9,0.869892,592,RED,434,-0.18823,-0.408913,6782
1898,false,q2,-7.4,0.999389,183,BLUE,361,-0.161865,0.464133,6782
1961,false,q3,3.8,0.978119,549,RED,68,0.490992,-0.416074,6782
2074,false,q5,-5.6,0.996316,392,BLUE,28,0.0961657,0.188632,6782
2111,false,q7,-4.7,0.990987,489,BLUE,348,-0.486137,0.115801,6782
2350,false,q2,-9.3,0.999909,99,BLUE,228,-0.134103,0.141878,6782
2545,false,q5,-7.5,0.999447,175,BLUE,46,0.475002,0.383463,6782
2641,false,q0,6.6,0.998641,265,RED,319,0.396458,-0.149898,6782
2723,false,q7,-6.6,0.998641,265,BLUE,91,-0.200612,0.473765,6782
2753,false,q5,-8.5,0.999797,120,BLUE,21,0.508382,0.41463,6782
2827,false,q1,3.8,0.978119,549,RED,342,0.080316,-0.159804,6782
2903,false,q5,-9.5,0.999925,96,BLUE,18,0.515074,0.456695,6782
2983,false,q3,6.6,0.998641,265,RED,429,0.514049,-0.172466,6782
3090,false,q2,-12,0.999994,81,BLUE,548,0.510235,0.420885,6782
3095,false,q4,-6.5,0.998499,277,BLUE,1163,-0.109368,0.111666,6782
3207,false,q2,-12,0.999994,81,BLUE,20,0.514287,0.461525,6782
3282,false,q3,8.5,0.999797,120,RED,19,0.512163,-0.129367,6782
3288,false,q7,-7.6,0.9995,168,BLUE,273,-0.191526,0.468109,6782
3395,false,q1,5.7,0.996665,379,RED,10,0.100255,-0.12755,6782
3473,false,q4,-8.4,0.999775,124,BLUE,58,0.186771,0.407314,6782
3538,false,q7,-9.5,0.999925,96,BLUE,39,-0.449156,0.130097,6782
3694,false,q0,8.5,0.999797,120,RED,568,0.42068,-0.472265,6782
3791,false,q1,7.6,0.9995,168,RED,4,0.123096,-0.110575,6782
3842,false,q5,-10.5,0.999972,86,BLUE,817,-0.124825,0.456168,6782
3916,false,q4,-9.4,0.999917,97,BLUE,277,0.128529,0.451669,6782
4030,false,q5,-12,0.999994,81,BLUE,55,-0.142891,0.133483,6782
4201,false,q0,11.4,0.999989,83,RED,91,0.485046,-0.173924,6782
4222,false,q4,-11.3,0.999988,83,BLUE,164,-0.507805,0.473295,6782
4319,false,q5,-12,0.999994,81,BLUE,157,-0.437673,0.165655,6782
4358,false,q0,12,0.999994,81,RED,42,0.500875,-0.124903,6782
4372,false,q4,-12,0.999994,81,BLUE,36,-0.472845,0.399947,6782
4546,false,q2,-12,0.999994,80,BLUE,165,0.465682,0.480096,6782
4674,false,q4,-12,0.999994,81,BLUE,190,0.139418,0.107117,6782
4771,false,q1,9.5,0.999925,96,RED,658,-0.101904,-0.138356,6782
4883,false,q6,-6.5,0.998499,277,BLUE,2884,-0.379034,0.166667,6782
4966,false,q3,10.4,0.99997,87,RED,1441,0.161141,-0.166176,6782
5019,false,q1,10.5,0.999972,86,RED,115,-0.448802,-0.118092,6782
5109,false,q2,-12,0.999994,80,BLUE,433,-0.15666,0.387176,6782
5278,false,q7,-10.5,0.999972,86,BLUE,1522,0.107363,0.194796,6782
5335,false,q1,11.5,0.99999,83,RED,170,-0.165516,-0.185185,6782
5403,false,q3,11.4,0.999989,83,RED,275,0.129113,-0.448,6782
5449,false,q7,-11.5,0.99999,83,BLUE,56,0.177176,0.466534,6782
5452,false,q2,-12,0.999994,80,BLUE,231,0.504656,0.160376,6782
5559,false,q1,12,0.999994,81,RED,87,-0.157359,-0.469007,6782
5704,false,q4,-12,0.999994,81,BLUE,858,-0.46939,0.453463,6782
5889,false,q7,-12,0.999994,81,BLUE,307,-0.145825,0.131925,6782
5891,false,q5,-12,0.999994,81,BLUE,1357,0.420769,0.15473,6782
5928,false,q1,12,0.999994,81,RED,240,-0.47604,-0.455824,6782
5949,false,q6,-8.4,0.999775,124,BLUE,774,-0.133733,0.41938,6782
